stoupání,rise [raɪz]
narození,birth [bɜːθ]
most,bridge [brɪdʒ]
pojem,concept [ˈkɒn.sept]
kopie,copy [ˈkɒp.i]
milý,dear [dɪər]
zahrada,garden [ˈɡɑː.dən]
hostitel,host [həʊst]
bydlení,housing [ˈhaʊ.zɪŋ]
časopis,journal [ˈdʒɜː.nəl]
práce,labor [ˈleɪ.bər]
vedení,leadership [ˈliː.də.ʃɪp]
délka,length [leŋθ]
šťastný,lucky [ˈlʌk.i]
ani,neither [ˈnaɪ.ðər]
na,onto [ˈɒn.tu]
možná,possibly [ˈpɒs.ə.bli]
dokázat,prove [pruːv]
vzácný,rare [reər]
dovednost,skill [skɪl]
tisíc,thousand [ˈθaʊ.zənd]
tvrdý,tough [tʌf]
inzerát,ad [æd]
naživu,alive [əˈlaɪv]
jablko,apple [ˈæp.əl]
rovnováha,balance [ˈbæl.əns]
narozeniny,birthday [ˈbɜːθ.deɪ]
fena,bitch [bɪtʃ]
šéf,boss [bɒs]
spojení,connection [kəˈnek.ʃən]
šaty,dress [dres]
kůň,horse [hɔːs]
kouzlo,magic [ˈmædʒ.ɪk]
řídit (firmu ap.),manage [ˈmæn.ɪdʒ]
mapa,map [mæp]
síť,net [net]
žádost,request [rɪˈkwest]
klacek,stick [stɪk]
vozidlo,vehicle [ˈvɪə.kəl]
objem,volume [ˈvɒl.juːm]
probudit,wake [weɪk]
pomoc,aid [eɪd]
krása,beauty [ˈbjuː.ti]
miliarda,billion [ˈbɪl.jən]
konverzace,conversation [ˌkɒn.vəˈseɪ.ʃən]
roh,corner [ˈkɔː.nər]
zločinec,criminal [ˈkrɪm.ɪ.nəl]
kulturní,cultural [ˈkʌl.tʃər.əl]
řidič,driver [ˈdraɪ.vər]
existovat,exist [ɪɡˈzɪst]
farma,farm [fɑːm]
soubor,file [faɪl]
spravit,fix [fɪks]
létat,fly [flaɪ]
upřímný,frank [fræŋk]
průvodce,guide [ɡaɪd]
vyšetřování,investigation [ɪnˌves.tɪˈɡeɪ.ʃən]
provozní,operating [ˈɒp.ər.eɪ.tɪŋ]
odpovědnost,responsibility [rɪˌspɒn.sɪˈbɪl.ə.ti]
válcovat,roll [rəʊl]
trochu,slightly [ˈslaɪt.li]
navrhnout,suggest [səˈdʒest]
překvapení,surprise [səˈpraɪz]
technický,technical [ˈtek.nɪ.kəl]
zacházet,treat [triːt]
jedinečný,unique [juːˈniːk]
rozmanitost,variety [vəˈraɪ.ə.ti]
násilí,violence [ˈvaɪə.ləns]
zbraň,weapon [ˈwep.ən]
mládí,youth [juːθ]
vážit si,appreciate [əˈpriː.ʃi.eɪt]
rozbití,breaking [ˈbreɪ.kɪŋ]
objevit,discover [dɪˈskʌv.ər]
suchý,dry [draɪ]
(o)kraj,edge [edʒ]
zlo,evil [ˈiː.vəl]
vzrušit,excite [ɪkˈsaɪt]
navěky,forever [fəˈre.vər]
zranění,injury [ˈɪn.dʒər.i]
železo,iron [aɪən]
milý,lovely [ˈlʌv.li]
šílený,mad [mæd]
časopis,magazine [ˌmæɡ.əˈziːn]
parlament,parliament [ˈpɑː.lɪ.mənt]
připravit,prepare [prɪˈpeər]
odkaz,reference [ˈref.ər.əns]
náboženství,religion [rɪˈlɪdʒ.ən]
někde,somewhere [ˈsʌm.weər]
strategie,strategy [ˈstræt.ə.dʒi]
pavučina,web [web]
víno,wine [waɪn]
publikum,audience [ˈɔː.di.əns]
záliv,bay [beɪ]
jádro,core [kɔːr]
vynikající,excellent [ˈek.səl.ənt]
střežit,guard [ɡɑːd]
čestný,honest [ˈɒn.ɪst]
závětří,lee [liː]
lék,medicine [ˈmed.ɪ.sən]
hora,mountain [ˈmaʊn.tɪn]
nukleární,nuclear [ˈnjuː.klɪər]
přístav,port [pɔːt]
přítomnost,presence [ˈprez.əns]
reakce,reaction [riˈæk.ʃən]
zmenšit,reduce [rɪˈdʒuːs]
tuhý,solid [ˈsɒl.ɪd]
zdůraznit,stress [stres]
chuť,taste [teɪst]
čaj,tea [tiː]
vítězství,victory [ˈvɪk.tər.i]
odpoledne,afternoon [ˌɑːf.təˈnuːn]
asistent,assistant [əˈsɪs.tənt]
občan(ka),citizen [ˈsɪt.ɪ.zən]
klasický,classic [ˈklæs.ɪk]
obléci,clothe [kləʊð]
elektrický,electric [ɪˈlek.trɪk]
stav nouze,emergency [ɪˈmɜː.dʒən.si]
úplně,entirely [ɪnˈtaɪə.li]
neúspěch,failure [ˈfeɪ.ljər]
festival,festival [ˈfes.tɪ.vəl]
byt,flat [flæt]
palivo,fuel [ˈfjuː.əl]
ahoj,hello [heˈləʊ]
nemocný,ill [ɪl]
počáteční,initial [ɪˈnɪʃ.əl]
představit,introduce [ˌɪn.trəˈdʒuːs]
kop(nutí),kick [kɪk]
pošta,mail [meɪl]
masivní,massive [ˈmæs.ɪv]
pár,pair [peər]
letadlo,plane [pleɪn]
spousta,plenty [ˈplen.ti]
princ,prince [prɪns]
(po)řádný,proper [ˈprɒp.ər]
čtvrt(ina),quarter [ˈkwɔː.tər]
regionální,regional [ˈriː.dʒən.əl]
zasedání,session [ˈseʃ.ən]
tvar,shape [ʃeɪp]
nebe,sky [skaɪ]
učení,teaching [ˈtiː.tʃɪŋ]
převod,transfer [trænsˈfɜːr]
horní,upper [ˈʌp.ər]
užitečný,useful [ˈjuːs.fəl]
údolí,valley [ˈvæl.i]
nehoda,accident [ˈæk.sɪ.dənt]
záloha,advance [ədˈvɑːns]
alternativní,alternative [ɒlˈtɜː.nə.tɪv]
kdekoli,anywhere [ˈen.i.weər]
loď,boat [bəʊt]
kapacita,capacity [kəˈpæs.ə.ti]
levný,cheap [tʃiːp]
klima,climate [ˈklaɪ.mət]
diskuse,discussion [dɪˈskʌʃ.ən]
pití,drinking [ˈdrɪŋ.kɪŋ]
povinnost,duty [ˈdʒuː.ti]
fantastický,fantastic [fænˈtæs.tɪk]
guvernér,governor [ˈɡʌv.ən.ər]
sto,hundred [ˈhʌn.drəd]
průmyslový,industrial [ɪnˈdʌs.tri.əl]
spoj,joint [dʒɔɪnt]
směs,mix [mɪks]
muzeum,museum [mjuːˈziː.əm]
cesta,path [pɑːθ]
slib,promise [ˈprɒm.ɪs]
navrhnout,propose [prəˈpəʊz]
nákup,purchase [ˈpɜː.tʃəs]
déšť,rain [reɪn]
ocel,steel [stiːl]
hrozný,terrible [ˈter.ə.bəl]
unavený,tired [taɪəd]
svěrák,vice [vaɪs]
teplý,warm [wɔːm]
Bájí se,afraid [əˈfreɪd]
pivo,beer [bɪər]
pohraniční,border [ˈbɔː.dər]
příkaz,command [kəˈmɑːnd]
posádka,crew [kruː]
dav,crowd [kraʊd]
Dick,dick [dɪk]
živel,element [ˈel.ɪ.mənt]
nepřítel,enemy [ˈen.ə.mi]
zajistit,ensure [ɪnˈʃɔːr]
životní prostředí,environmental [ɪnˌvaɪ.rəˈmen.təl]
vyplnit,fill [fɪl]
les,forest [ˈfɒr.ɪst]
inteligence,intelligence [ɪnˈtel.ɪ.dʒəns]
záměr,intend [ɪnˈtend]
práce,labour [ˈleɪ.bər]
omezit,limit [ˈlɪm.ɪt]
měsíc,moon [muːn]
oceán,ocean [ˈəʊ.ʃən]
zisk,profit [ˈprɒf.ɪt]
důkaz,proof [pruːf]
republikán,republican [rɪˈpʌb.lɪ.kən]
voják,soldier [ˈsəʊl.dʒər]
oblek,suit [suːt]
vzhled,appearance [əˈpɪə.rəns]
budova,building [ˈbɪl.dɪŋ]
židle,chair [tʃeər]
dluh,debt [det]
domácí,domestic [dəˈmes.tɪk]
drahý,expensive [ɪkˈspen.sɪv]
historický,historical [hɪˈstɒr.ɪ.kəl]
čestně,honestly [ˈɒn.ɪst.li]
čest,honor [ˈɒn.ər]
skok,jump [dʒʌmp]
zahájit,launch [lɔːntʃ]
minimální,minimum [ˈmɪn.ɪ.məm]
rodák,native [ˈneɪ.tɪv]
původně,originally [əˈrɪdʒ.ən.əl.i]
paprsek,ray [reɪ]
najednou,suddenly [ˈsʌd.ən.li]
nejvyšší,supreme [suːˈpriːm]
přehled,survey [ˈsɜː.veɪ]
Tech,tech [tek]
aktualizovat,update [ʌpˈdeɪt]
spisovatel,writer [ˈraɪ.tər]
žluť,yellow [ˈjel.əʊ]
starověké,ancient [ˈeɪn.ʃənt]
kombajn,combine [kəmˈbaɪn]
sdělení,communication [kəˌmjuː.nɪˈkeɪ.ʃən]
připojit,connect [kəˈnekt]
obsahovat,contain [kənˈteɪn]
cvičení,exercise [ˈek.sə.saɪz]
vyjádřit,express [ɪkˈspres]
tok,flow [fləʊ]
hrdina,hero [ˈhɪə.rəʊ]
ilegální,illegal [ɪˈliː.ɡəl]
vtip,joke [dʒəʊk]
půjčka,loan [ləʊn]
provést,perform [pəˈfɔːm]
planeta,planet [ˈplæn.ɪt]
restaurace,restaurant [ˈres.tər.ɒnt]
vybrat,select [sɪˈlekt]
nakupování,shopping [ˈʃɒp.ɪŋ]
měkký,soft [sɒft]
uvízl,stuck [stʌk]
cukr,sugar [ˈʃʊɡ.ər]
učit,teach [tiːtʃ]
doprava,transport [ˈtræn.spɔːt]
záležitost,affair [əˈfeər]
odvolání,appeal [əˈpiːl]
přivlastnit si,appropriate [əˈprəʊ.pri.ət]
potvrdit,confirm [kənˈfɜːm]
zařízení,device [dɪˈvaɪs]
drama,drama [ˈdrɑː.mə]
vstup,entry [ˈen.tri]
éra,era [ˈɪə.rə]
zlatý,golden [ˈɡəʊl.dən]
grant,grant [ɡrɑːnt]
advokát,lawyer [ˈlɔɪ.ər]
noha,leg [leɡ]
opatření,measure [ˈmeʒ.ər]
chyba,mistake [mɪˈsteɪk]
platforma,platform [ˈplæt.fɔːm]
bazén,pool [puːl]
považovat,regard [rɪˈɡɑːd]
vztah,relation [rɪˈleɪ.ʃən]
trasa,route [ruːt]
naplánovat,schedule [ˈʃedʒ.uːl]
vědecký,scientific [ˌsaɪ.ənˈtɪf.ɪk]
bota,shoe [ʃuː]
kouř,smoke [sməʊk]
Squad,squad [skwɒd]
testování,testing [ˈtes.tɪŋ]
zneužívání,abuse [əˈbjuːz]
rozzlobený,angry [ˈæŋ.ɡri]
kandidát,candidate [ˈkæn.dɪ.dət]
komfortní,comfortable [ˈkʌm.fə.tə.bəl]
diskutovat,discuss [dɪˈskʌs]
emocionální,emotional [ɪˈməʊ.ʃən.əl]
všude,everywhere [ˈev.ri.weər]
zařízení,facility [fəˈsɪl.ə.ti]
liška,fox [fɒks]
otvor,hole [həʊl]
dovolená,holiday [ˈhɒl.ə.deɪ]
vnitřní,internal [ɪnˈtɜː.nəl]
trikot,jersey [ˈdʒɜː.zi]
smích,laugh [lɑːf]
liberální,liberal [ˈlɪb.ər.əl]
naslouchání,listening [ˈlɪs.ən]
oběd,lunch [lʌntʃ]
mléko,milk [mɪlk]
balíček,pack [pæk]
platba,payment [ˈpeɪ.mənt]
poměrně,relatively [ˈrel.ə.tɪv.li]
sektor,sector [ˈsek.tər]
sněžení,snow [snəʊ]
bouře,storm [stɔːm]
stávka,strike [straɪk]
studio,studio [ˈstjuː.di.əʊ]
sub,sub [sʌb]
slabý,weak [wiːk]
herec,actor [ˈæk.tər]
byt,apartment [əˈpɑːt.mənt]
řetěz,chain [tʃeɪn]
kapitola,chapter [ˈtʃæp.tər]
spáchat,commit [kəˈmɪt]
důvěra,confidence [ˈkɒn.fɪ.dəns]
vařit,cook [kʊk]
falešný,fake [feɪk]
finance,finance [ˈfaɪ.næns]
identita,identity [aɪˈden.tə.ti]
cesta,journey [ˈdʒɜː.ni]
kuchyně,kitchen [ˈkɪtʃ.ən]
udržovat,maintain [meɪnˈteɪn]
četné,numerous [ˈnjuː.mə.rəs]
klid,quiet [ˈkwaɪ.ət]
konkrétně,specifically [spəˈsɪf.ɪ.kəl.i]
rozdělit,split [splɪt]
úkol,task [tɑːsk]
taxíky,taxis [ˈtæk.si]
dvacet,twenty [ˈtwen.ti]
městský,urban [ˈɜː.bən]
ovlivnit,affect [əˈfekt]
letadlo,aircraft [ˈeə.krɑːft]
schvalovat,approve [əˈpruːv]
přibližně,approximately [əˈprɒk.sɪ.mət.li]
argument,argument [ˈɑːɡ.jə.mənt]
zatknout,arrest [əˈrest]
konflikt,conflict [ˈkɒn.flɪkt]
společnost,corporate [ˈkɔː.pər.ət]
rozprava,debate [dɪˈbeɪt]
určit,determine [dɪˈtɜː.mɪn]
rozdělení,distribution [ˌdɪs.trɪˈbjuː.ʃən]
dokument,document [ˈdɒk.jə.mənt]
uniknout,escape [ɪˈskeɪp]
rozšířit,extend [ɪkˈstend]
chyba,fault [fɒlt]
květ,flower [flaʊər]
přátelský,friendly [ˈfrend.li]
fáze,phase [feɪz]
správně,properly [ˈprɒp.əl.i]
čistý,pure [pjʊər]
požadavek,requirement [rɪˈkwaɪə.mənt]
rezident,resident [ˈrez.ɪ.dənt]
příjmy,revenue [ˈrev.ən.juː]
Sam,sam [sæm]
zajistit,secure [sɪˈkjʊər]
úsměv,smile [smaɪl]
zvláštní,strange [streɪndʒ]
talent,talent [ˈtæl.ənt]
teplota,temperature [ˈtem.prə.tʃər]
oddíl,troop [truːp]
kamion,truck [trʌk]
v podstatě,basically [ˈbeɪ.sɪ.kəl.i]
kromě,besides [bɪˈsaɪdz]
pták,bird [bɜːd]
obviňovat,blame [bleɪm]
kuře,chicken [ˈtʃɪk.ɪn]
sbírat,collect [kəˈlekt]
kontext,context [ˈkɒn.tekst]
krytí,coverage [ˈkʌv.ər.ɪdʒ]
zobrazit,display [dɪˈspleɪ]
zvolit,elect [iˈlekt]
falešný,false [fɒls]
zapomněl,forgot [fəˈɡet]
identifikovat,identify [aɪˈden.tɪ.faɪ]
neuvěřitelný,incredible [ɪnˈkred.ə.bəl]
inspirovat,inspire [ɪnˈspaɪər]
Ma,ma [mɑː]
maso,meat [miːt]
ministerstvo,ministry [ˈmɪn.ɪ.stri]
režim,mode [məʊd]
krk,neck [nek]
román,novel [ˈnɒv.əl]
zřejmé,obvious [ˈɒb.vi.əs]
košile,shirt [ʃɜːt]
pomalu,slowly [ˈsləʊ.li]
stadión,stadium [ˈsteɪ.di.əm]
chirurgie,surgery [ˈsɜː.dʒər.i]
obchodování,trading [ˈtreɪ.dɪŋ]
vidění,vision [ˈvɪʒ.ən]
kdykoli,whenever [wenˈev.ər]
ustaraný,worried [ˈwʌr.id]
nula,zero [ˈzɪə.rəʊ]
mistr,champion [ˈtʃæm.pi.ən]
krém,cream [kriːm]
krize,crisis [ˈkraɪ.sɪs]
doručit,deliver [dɪˈlɪv.ər]
editor,editor [ˈed.ɪ.tər]
odhad,estimate [ˈes.tɪ.meɪt]
EU,eu [ˌiːˈjuː]
obří,giant [ˈdʒaɪ.ənt]
vězení,jail [dʒeɪl]
království,kingdom [ˈkɪŋ.dəm]
literatura,literature [ˈlɪt.rə.tʃər]
starosta,mayor [meər]
menší,minor [ˈmaɪ.nər]
naproti,opposite [ˈɒp.ə.zɪt]
pomerančový,orange [ˈɒr.ɪndʒ]
sebe,ourselves [ˌaʊəˈselvz]
výběr,selection [sɪˈlek.ʃən]
signál,signal [ˈsɪɡ.nəl]
proud,stream [striːm]
boj,struggle [ˈstrʌɡ.əl]
sebevražda,suicide [ˈsuː.ɪ.saɪd]
téma,theme [θiːm]
Drobné,tiny [ˈtaɪ.ni]
obvykle,typically [ˈtɪp.ɪ.kəl.i]
vlna,wave [weɪv]
alkohol,alcohol [ˈæl.kə.hɒl]
shromáždění,assembly [əˈsem.bli]
snídaně,breakfast [ˈbrek.fəst]
jasný,bright [braɪt]
schopný,capable [ˈkeɪ.pə.bəl]
kombinace,combination [ˌkɒm.bɪˈneɪ.ʃən]
konzervativní,conservative [kənˈsɜː.və.tɪv]
řezání,cutting [ˈkʌt.ɪŋ]
touha,desire [dɪˈzaɪər]
zničit,destroy [dɪˈstrɔɪ]
návrh,draft [drɑːft]
opilý,drunk [drʌŋk]
základní,essential [ɪˈsen.ʃəl]
známé,familiar [fəˈmɪl.i.ər]
vinen,guilty [ˈɡɪl.ti]
převážně,largely [ˈlɑːdʒ.li]
střední,medium [ˈmiː.di.əm]
dokonale,perfectly [ˈpɜː.fekt.li]
doporučit,recommend [ˌrek.əˈmend]
odkazovat,refer [rɪˈfɜːr]
relevantní,relevant [ˈrel.ə.vənt]
hledat,seek [siːk]
sólo,solo [ˈsəʊ.ləʊ]
lístek,ticket [ˈtɪk.ɪt]
neschopný,unable [ʌnˈeɪ.bəl]
rozrušený,upset [ʌpˈset]
křídlo,wing [wɪŋ]
bombardovat,bomb [bɒm]
tvůrčí,creative [kriˈeɪ.tɪv]
cyklus,cycle [ˈsaɪ.kəl]
Don,don [dɒn]
vzdělávací,educational [ˌedʒ.ʊˈkeɪ.ʃən.əl]
zábava,entertainment [en.təˈteɪn.mənt]
extrémní,extreme [ɪkˈstriːm]
hlavně,mainly [ˈmeɪn.li]
maximum,maximum [ˈmæk.sɪ.məm]
noviny,newspaper [ˈnjuːzˌpeɪ.pər]
nabídka,offering [ˈɒf.ər.ɪŋ]
malovat,paint [peɪnt]
republika,republic [rɪˈpʌb.lɪk]
rezervovat,reserve [rɪˈzɜːv]
řádek,row [rəʊ]
sůl,salt [sɒlt]
vyděsit,scare [skeər]
statistický,statistic [stəˈtɪs.tɪk]
přepínač,switch [swɪtʃ]
území,territory [ˈter.ɪ.tər.i]
ohrožení,threat [θret]
jmenovat,appoint [əˈpɔɪnt]
ozbrojený,armed [ɑːmd]
zvonek,bell [bel]
rána,blow [bləʊ]
pouto,bond [bɒnd]
opatrný,careful [ˈkeə.fəl]
okolnost,circumstance [ˈsɜː.kəm.stɑːns]
korporace,corporation [ˌkɔː.pərˈeɪ.ʃən]
plakat,cry [kraɪ]
nebezpečí,danger [ˈdeɪn.dʒər]
dodání,delivery [dɪˈlɪv.ər.i]
zasloužit si,deserve [dɪˈzɜːv]
prázdný,empty [ˈemp.ti]
FOLK,folk [fəʊk]
pohlaví,gender [ˈdʒen.dər]
instance,instance [ˈɪn.stəns]
pohyb,motion [ˈməʊ.ʃən]
Nick,nick [nɪk]
