potěr,fry [fraɪ]
vlákno,fiber [ˈfaɪ.bər]
obchod s potravinami,grocery [ˈɡrəʊ.sər.i]
v půli,halfway [ˌhɑːfˈweɪ]
pata,heel [hiːl]
trup,hull [hʌl]
náznak,indication [ˌɪn.dɪˈkeɪ.ʃən]
trvat (na svém ap.),insist [ɪnˈsɪst]
intenzivní,intensive [ɪnˈten.sɪv]
interaktivní,interactive [ˌɪn.təˈræk.tɪv]
důvěrný (vztah ap.),intimate [ˈɪn.tɪ.mət]
prádlo (určené k praní),laundry [ˈlɔːn.dri]
severovýchod,northeast [ˌnɔːθˈiːst]
heslo,password [ˈpɑːs.wɜːd]
politicky,politically [pəˈlɪt.ɪ.kəl.i]
pravděpodobně,presumably [prɪˈzjuː.mə.bli]
vyslovit,pronounce [prəˈnaʊns]
trestní řízení ,prosecution [ˌprɒs.ɪˈkjuː.ʃən]
pulz,pulse [pʌls]
racionální,rational [ˈræʃ.ən.əl]
(za)křičet (hlasitě promluvit),shout [ʃaʊt]
specifikovat,specify [ˈspes.ɪ.faɪ]
velkolepý,spectacular [spekˈtæk.jə.lər]
předplatné,subscription [səbˈskrɪp.ʃən]
technologický,technological [ˌtek.nəˈlɒdʒ.ɪ.kəl]
dočasně,temporarily [tem.pəˈr.er.əl.i]
tolerance,tolerance [ˈtɒl.ər.əns]
tradičně,traditionally [trəˈdɪʃ.ən.əl.i]
nešťastný,unhappy [ʌnˈhæp.i]
dosáhnout,accomplish [əˈkʌm.plɪʃ]
dostatečný (odpovídající),adequate [ˈæd.ə.kwət]
pozměnit,alter [ˈɒl.tər]
omluva,apology [əˈpɒl.ə.dʒi]
(charakteristická) vlastnost,attribute [ˈæt.rɪ.bjuːt]
(úpěnlivě) prosit,beg [beɡ]
mosaz,brass [brɑːs]
bzučet,buzz [bʌz]
návrat (na scénu ap.),comeback [ˈkʌm.bæk]
diagnostikovat,diagnose [ˌdaɪ.əɡˈnəʊz]
(motorová) nafta,diesel [ˈdiː.zəl]
rozměr (rozloha ap.),dimension [ˌdaɪˈmen.ʃən]
ponořit,dip [dɪp]
tečka,dot [dɒt]
účinnost,effectiveness [ɪˈfek.tɪv.nəs]
výjimečný,exceptional [ɪkˈsep.ʃən.əl]
podání (úřední),filing [ˈfaɪ.lɪŋ]
utéct (form.),flee [fliː]
znečistit (zašpinit),foul [faʊl]
upřímně (ve výroku),frankly [ˈfræŋ.kli]
graf,graph [ɡrɑːf]
sekat (silnými údery),hack [hæk]
neznalý,ignorant [ˈɪɡ.nər.ənt]
interagovat,interact [ˌɪn.təˈrækt]
lampa,lamp [læmp]
omezení,limitation [ˌlɪm.ɪˈteɪ.ʃən]
veličenstvo (v oslovení),majesty [ˈmædʒ.ə.sti]
měření,measurement [ˈmeʒ.ə.mənt]
median,median [ˈmiː.di.ən]
středověký,medieval [ˌmed.ˈiː.vəl]
pohyblivost,mobility [məʊˈbɪl.ə.ti]
orientace,orientation [ˌɔː.ri.enˈteɪ.ʃən]
trouba (na pečení),oven [ˈʌv.ən]
pas,passport [ˈpɑːs.pɔːt]
penis,penis [ˈpiː.nɪs]
králík,rabbit [ˈræb.ɪt]
rytmus,rhythm [ˈrɪð.əm]
divoch (necivilizovaný),savage [ˈsæv.ɪdʒ]
střelec,shooter [ˈʃuː.tər]
sourozenec,sibling [ˈsɪb.lɪŋ]
štíhlý,slim [slɪm]
jednoho dne,someday [ˈsʌm.deɪ]
důmyslný (mechanismus ap.),sophisticated [səˈfɪs.tɪ.keɪ.tɪd]
stoh (sena ap.),stack [stæk]
postoj (form.),stance [stɑːns]
statický,static [ˈstæt.ɪk]
metro,subway [ˈsʌb.weɪ]
nápomocný (podporou),supportive [səˈpɔː.tɪv]
chirurgický,surgical [ˈsɜː.dʒɪ.kəl]
tabletka,tablet [ˈtæb.lət]
stan,tent [tent]
diplomová práce,thesis [ˈθiː.sɪs]
příliv a odliv,tide [taɪd]
válka (vedení války),warfare [ˈwɔː.feər]
oteplování,warming [ˈwɔː.mɪŋ]
stáhnout se (ustoupit),withdraw [wɪðˈdrɔː]
odvolání (stažení),withdrawal [wɪðˈdrɔː.əl]
audit,audit [ˈɔː.dɪt]
autentický,authentic [ɔːˈθen.tɪk]
dozadu,backwards [ˈbæk.wədz]
blond,blonde [blɒnd]
šroub (do matice),bolt [bəʊlt]
roztřískat,bust [bʌst]
mýtina,clearing [ˈklɪə.rɪŋ]
límec,collar [ˈkɒl.ər]
vyhovovat (splňovat požadavky),comply [kəmˈplaɪ]
vypořádat se (zvládnout),cope [kəʊp]
hrůzu nahánějící,creepy [ˈkriː.pi]
"kresba (črta, výkres)",drawing [ˈdrɔː.ɪŋ]
ozvěna,echo [ˈek.əʊ]
citově,emotionally [ɪˈməʊ.ʃən.əl.i]
finále,finale [fɪˈnɑː.li]
chuť,flavor [ˈfleɪ.vər]
rukavice,glove [ɡlʌv]
jelen,hart [hɑːt]
neznalost,ignorance [ˈɪɡ.nər.əns]
vyvolaný (navozený),induced [ɪn.dʒuːst]
mezilehlý,intermediate [ˌɪn.təˈmiː.di.ət]
vynález,invention [ɪnˈven.ʃən]
"podobně (tak, stejně)",likewise [ˈlaɪk.waɪz]
nádherný,magnificent [mæɡˈnɪf.ɪ.sənt]
matematický,mathematical [ˌmæθ.əmˈæt.ɪ.kəl]
nicméně,nonetheless [ˌnʌn.ðəˈles]
umístění,placement [ˈpleɪs.mənt]
rekreace,recreation [ˌrek.riˈeɪ.ʃən]
"obnovit (smlouvu, vztah)",renew [rɪˈnjuː]
rezignovat,resign [rɪˈzaɪn]
mělký,shallow [ˈʃæl.əʊ]
skica,sketch [sketʃ]
soda,soda [ˈsəʊ.də]
navzdory,spite [spaɪt]
posílit,strengthen [ˈstreŋ.θən]
západ slunce,sunset [ˈsʌn.set]
tepelný,thermal [ˈθɜː.məl]
pracoviště,workplace [ˈwɜːk.pleɪs]
křičet,yell [jel]
analytik,analyst [ˈæn.əl.ɪst]
arktický,arctic [ˈɑːk.tɪk]
kalorie,calorie [ˈkæl.ər.i]
přestat (form.),cease [siːs]
kaple,chapel [ˈtʃæp.əl]
látka (tkanina),cloth [klɒθ]
nádoba,container [kənˈteɪ.nər]
kovboj,cowboy [ˈkaʊ.bɔɪ]
rozmístit (jednotky ap.),deploy [dɪˈplɔɪ]
lišit se,differ [ˈdɪf.ər]
dychtivý,eager [ˈiː.ɡər]
být povýšen,elevate [ˈel.ɪ.veɪt]
podstata (hlavní část),essence [ˈes.əns]
vidlička,fork [fɔːk]
srst,fur [fɜːr]
sklizeň,harvest [ˈhɑː.vɪst]
(novinový) titulek,headline [ˈhed.laɪn]
veteš,junk [dʒʌŋk]
ledviny,kidney [ˈkɪd.ni]
žebřík,ladder [ˈlæd.ər]
lobbovat,lobby [ˈlɒb.i]
nerost,mineral [ˈmɪn.ər.əl]
dav (rozvášněný ap.),mob [mɒb]
skromný,modest [ˈmɒd.ɪst]
navigace,navigation [ˌnæv.ɪˈɡeɪ.ʃən]
oběžná dráha,orbit [ˈɔː.bɪt]
odstavec,paragraph [ˈpær.ə.ɡrɑːf]
pasivní,passive [ˈpæs.ɪv]
poloostrov,peninsula [pəˈnɪn.sjə.lə]
vepřové,pork [pɔːk]
ziskový (firma ap.),profitable [ˈprɒf.ɪ.tə.bəl]
ranč,ranch [rɑːntʃ]
rozumně,reasonably [ˈriː.zən.ə.bli]
zbývající část,remainder [rɪˈmeɪn.dər]
cítění (názorové),sentiment [ˈsen.tɪ.mənt]
ponožka,sock [sɒk]
doplněk,supplement [ˈsʌp.lɪ.mənt]
přežívající,surviving [səˈvaɪ.vɪŋ]
tím(to),thereby [ˌðeəˈbaɪ]
práh,threshold [ˈθreʃ.həʊld]
cín,tin [tɪn]
pneumatika,tire [taɪər]
kmenový,tribal [ˈtraɪ.bəl]
(lodní) kufr,trunk [trʌŋk]
nejistota,uncertainty [ʌnˈsɜː.tən.ti]
upír,vampire [ˈvæm.paɪər]
pestrý,varied [ˈveə.rɪd]
výrok,verdict [ˈvɜː.dɪkt]
ubytovat,accommodate [əˈkɒm.ə.deɪt]
proto,accordingly [əˈkɔː.dɪŋ.li]
estetický,aesthetic [esˈθet.ɪk]
algoritmus,algorithm [ˈæl.ɡə.rɪ.ðəm]
kotva,anchor [ˈæŋ.kər]
oblouk,arch [ɑːtʃ]
osa,axis [ˈæk.sɪs]
odznak,badge [bædʒ]
bizarní,bizarre [bɪˈzɑːr]
odskočit,bounce [baʊns]
dělo,cannon [ˈkæn.ən]
koleda,carol [ˈkær.əl]
složitost,complexity [kəmˈplek.sə.ti]
zmást,confuse [kənˈfjuːz]
konzultace,consultation [ˌkɒn.sʌlˈteɪ.ʃən]
kontinentální,continental [ˌkɒn.tɪˈnen.təl]
pohodlí,convenience [kənˈviː.ni.əns]
záměrně,deliberately [dɪˈlɪb.ər.ət.li]
slovník,dictionary [ˈdɪk.ʃən.ər.i]
důstojnost,dignity [ˈdɪɡ.nə.ti]
zklamáním,disappointing [ˌdɪs.əˈpɔɪn.tɪŋ]
potápění,diving [ˈdaɪ.vɪŋ]
ego,ego [ˈiː.ɡəʊ]
nadšení,enthusiasm [ɪnˈθjuː.zi.æz.əm]
rovnice,equation [ɪˈkweɪ.ʒən]
výpis,extract [ɪkˈstrækt]
trajekt,ferry [ˈfer.i]
flexibilita,flexibility [ˌflek.səˈbɪl.ə.ti]
fúze,fusion [ˈfjuː.ʒən]
rozchod,gauge [ɡeɪdʒ]
koza,goat [ɡəʊt]
střevo,gut [ɡʌt]
Heck,heck [hek]
helma,helmet [ˈhel.mət]
ideologie,ideology [ˌaɪ.diˈɒl.ə.dʒi]
zařazení,inclusion [ɪnˈkluː.ʒən]
hmyz,insect [ˈɪn.sekt]
brankář,keeper [ˈkiː.pər]
jehněčí,lamb [læm]
stroje,machinery [məˈʃiː.nər.i]
Mansion,mansion [ˈmæn.ʃən]
a to,namely [ˈneɪm.li]
platina,platinum [ˈplæt.ɪ.nəm]
mít,possess [pəˈzes]
předpoklad,premise [ˈprem.ɪs]
pravděpodobnost,probability [ˌprɒb.əˈbɪl.ə.ti]
rezignace,resignation [ˌrez.ɪɡˈneɪ.ʃən]
jezdec,rider [ˈraɪ.dər]
rituál,ritual [ˈrɪtʃ.u.əl]
police,shelf [ʃelf]
slam,slam [slæm]
startér,starter [ˈstɑː.tər]
upsat,subscribe [səbˈskraɪb]
superman,superman [ˈsuː.pə.mæn]
Ta,ta [tɑː]
naprosto,utterly [ˈʌt.əl.i]
napětí,voltage [ˈvɒl.tɪdʒ]
šířka,width [wɪtθ]
cvičení,workout [ˈwɜː.kaʊt]
aktivovat,activate [ˈæk.tɪ.veɪt]
přizpůsobování,adaptation [ˌæd.əpˈteɪ.ʃən]
hliník,aluminum [əˈluː.mə.nəm]
kauce,bail [beɪl]
CAL,cal [kæl]
charakterizovat,characterize [ˈkær.ək.tə.raɪz]
civilizace,civilization [ˌsɪv.əl.aɪˈzeɪ.ʃən]
tvořivost,creativity [ˌkriː.eɪˈtɪv.ə.ti]
jemný,delicate [ˈdel.ɪ.kət]
doupě,den [den]
zklamání,disappointment [ˌdɪs.əˈpɔɪnt.mənt]
disk,disk [dɪsk]
vyhodnotit,evaluate [ɪˈvæl.ju.eɪt]
formálně,formally [ˈfɔː.mə.li]
bohyně,goddess [ˈɡɒd.es]
obtěžování,harassment [ˈhær.əs.mənt]
vložit,insert [ɪnˈsɜːt]
legitimní,legit [ləˈdʒɪt]
alkohol,liquor [ˈlɪk.ər]
Loser,loser [ˈluː.zər]
masáž,massage [ˈmæs.ɑːʒ]
synovec,nephew [ˈnef.juː]
zejména,notably [ˈnəʊ.tə.bli]
orchestr,orchestra [ˈɔː.kɪ.strə]
zachování,preservation [ˌprez.əˈveɪ.ʃən]
soukromě,privately [ˈpraɪ.vət.li]
uvažování,reasoning [ˈriː.zən.ɪŋ]
pověst,rumor [ˈruː.mɚ]
plachta,sail [seɪl]
losos,salmon [ˈsæm.ən]
tajně,secretly [ˈsiː.krət.li]
Prodejce,seller [ˈsel.ər]
Sen,sen [ˌes.iːˈen]
naprostý,sheer [ʃɪər]
zvláště,specially [ˈspeʃ.əl.i]
Stark,stark [stɑːk]
sympatie,sympathy [ˈsɪm.pə.θi]
opálení,tan [tæn]
teoretický,theoretical [θɪəˈret.ɪ.kəl]
palec,thumb [θʌm]
dřevo,timber [ˈtɪm.bər]
průhledný,transparent [trænˈspær.ənt]
vzhůru nohama,upside [ˈʌp.saɪd]
vitamín,vitamin [ˈvɪt.ə.mɪn]
neplatné,void [vɔɪd]
dobrovolný,voluntary [ˈvɒl.ən.tər.i]
pšenice,wheat [wiːt]
bič,whip [wɪp]
Otřete,wipe [waɪp]
zápěstí,wrist [rɪst]
akutní,acute [əˈkjuːt]
admirál,admiral [ˈæd.mər.əl]
banán,banana [bəˈnɑː.nə]
chovat se,behave [bɪˈheɪv]
půjčit si,borrow [ˈbɒr.əʊ]
brada,chin [tʃɪn]
občanský,civic [ˈsɪv.ɪk]
úředník,clerk [klɑːk]
značně,considerably [kənˈsɪd.ər.ə.bli]
chalupa,cottage [ˈkɒt.ɪdʒ]
převrat,coup [kuː]
kritizovat,criticize [ˈkrɪt.ɪ.saɪz]
surový,crude [kruːd]
pomlčka,dash [dæʃ]
Zveřejnění,disclosure [dɪˈskləʊ.ʒər]
likvidace,disposal [dɪˈspəʊ.zəl]
rozlišovací,distinctive [dɪˈstɪŋk.tɪv]
trubec,drone [drəʊn]
doprovod,escort [ɪˈskɔːt]
pevně,firmly [ˈfɜːm.li]
mouka,flour [flaʊər]
prozatímní,interim [ˈɪn.tər.ɪm]
blbec,jerk [dʒɜːk]
laskavě,kindly [ˈkaɪnd.li]
laskavost,kindness [ˈkaɪnd.nəs]
loterie,lottery [ˈlɒt.ər.i]
velikost,magnitude [ˈmæɡ.nɪ.tʃuːd]
mínus,minus [ˈmaɪ.nəs]
akt,nude [njuːd]
výstup,outlet [ˈaʊt.let]
parametr,parameter [pəˈræm.ɪ.tər]
pauza,pause [pɔːz]
slib,pledge [pledʒ]
portál,portal [ˈpɔː.təl]
předpis,prescription [prɪˈskrɪp.ʃən]
protestující,protester [prəˈtes.tər]
publicita,publicity [pʌbˈlɪs.ə.ti]
potrestat,punish [ˈpʌn.ɪʃ]
štěně,puppy [ˈpʌp.i]
nábor,recruitment [rɪˈkruːt.mənt]
křemík,silicon [ˈsɪl.ɪ.kən]
plátek,slice [slaɪs]
pravopis,spelling [ˈspel.ɪŋ]
spur,spur [spɜːr]
odběratel,subscriber [səbˈskraɪ.bər]
telegrafovat,telegraph [ˈtel.ɪ.ɡrɑːf]
TIT,tit [tɪt]
vakcína,vaccine [ˈvæk.siːn]
přesně,accurately [ˈæk.jə.rət.li]
affiliate,affiliate [əˈfɪl.i.eɪt]
azyl,asylum [əˈsaɪ.ləm]
stodola,barn [bɑːn]
ohnutý,bent [bent]
katedrála,cathedral [kəˈθiː.drəl]
doložka,clause [klɔːz]
shluk,cluster [ˈklʌs.tər]
konzistence,consistency [kənˈsɪs.tən.si]
válec,cylinder [ˈsɪl.ɪn.dər]
tanečník,dancer [ˈdɑːn.sər]
hluchý,deaf [def]
odmítnutí,denial [dɪˈnaɪ.əl]
dok,dock [dɒk]
podnikatel,entrepreneur [ˌɒn.trə.prəˈnɜːr]
evidentní,evident [ˈev.ɪ.dənt]
expedice,expedition [ˌek.spəˈdɪʃ.ən]
usnadnit,facilitate [fəˈsɪl.ɪ.teɪt]
výkon,feat [fiːt]
fosilní,fossil [ˈfɒs.əl]
náklad,freight [freɪt]
poctivost,honesty [ˈɒn.ə.sti]
nevhodný,inappropriate [ˌɪn.əˈprəʊ.pri.ət]
dítě,infant [ˈɪn.fənt]
instrumentální,instrumental [ˌɪn.strəˈmen.təl]
urazit,insult [ˈɪn.sʌlt]
rušení,interference [ˌɪn.təˈfɪə.rəns]
mezistátní,interstate [ˌɪn.təˈsteɪt]
Středomoří,mediterranean [ˌmed.ɪ.tərˈeɪ.ni.ən]
elegantní,neat [niːt]
vyjednávat,negotiate [nəˈɡəʊ.ʃi.eɪt]
offset,offset [ˌɒfˈset]
nákaza,outbreak [ˈaʊt.breɪk]
kamarád,pal [pæl]
dokonalost,perfection [pəˈfek.ʃən]
pirát,pirate [ˈpaɪ.rət]
sonda,probe [prəʊb]
zakázat,prohibit [prəˈhɪb.ɪt]
čtvrtletní,quarterly [ˈkwɔː.təl.i]
rekrut,recruit [rɪˈkruːt]
rehabilitace,rehabilitation [ˌriː.həˌbɪl.ɪˈteɪ.ʃən]
odolný,resistant [rɪˈzɪs.tənt]
váleček,roller [ˈrəʊ.lər]
plachtění,sailing [ˈseɪ.lɪŋ]
Skinny,skinny [ˈskɪn.i]
žalobníček,sneak [sniːk]
bolest,sore [sɔːr]
jiskra,spark [spɑːk]
spekulace,speculation [ˌspek.jəˈleɪ.ʃən]
strmé,steep [stiːp]
sláma,straw [strɔː]
nástupce,successor [səkˈses.ər]
nejistý,uncertain [ʌnˈsɜː.tən]
vektor,vector [ˈvek.tər]
vážit,weigh [weɪ]
vůbec,whatsoever [ˌwɒt.səʊˈev.ər]
zlý,wicked [ˈwɪk.ɪd]
chybí,absent [ˈæb.sənt]
akustický,acoustic [əˈkuː.stɪk]
předek,ancestor [ˈæn.ses.tər]
atomový,atomic [əˈtɒm.ɪk]
kolo,bicycle [ˈbaɪ.sɪ.kəl]
narazit,bump [bʌmp]
vozík,cart [kɑːt]
cirkus,circus [ˈsɜː.kəs]
kokain,cocaine [kəʊˈkeɪn]
přesvědčivé,compelling [kəmˈpel.ɪŋ]
kompilovat,compile [kəmˈpaɪl]
komplikace,complication [ˌkɒm.plɪˈkeɪ.ʃən]
šňůra,cord [kɔːd]
Dale,dale [deɪl]
obžalovaný,defendant [dɪˈfen.dənt]
hustý,dense [dens]
zoufale,desperately [ˈdes.pər.ət.li]
doktrína,doctrine [ˈdɒk.trɪn]
zuřivý,furious [ˈfjʊə.ri.əs]
zeměpis,geography [dʒiˈɒɡ.rə.fi]
koncert,gig [ɡɪɡ]
stanoviště,habitat [ˈhæb.ɪ.tæt]
přístav,harbour [ˈhɑː.bər]
nebezpečí,hazard [ˈhæz.əd]
vodík,hydrogen [ˈhaɪ.drə.dʒən]
znamenat,imply [ɪmˈplaɪ]
neporušený,intact [ɪnˈtækt]
přívod,intake [ˈɪn.teɪk]
irelevantní,irrelevant [ɪˈrel.ə.vənt]
čelist,jaw [dʒɔː]
koťátko,kitty [ˈkɪ.ti]
trávník,lawn [lɔːn]
mylné,mistaken [mɪˈsteɪ.kən]
jehla,needle [ˈniː.dəl]
ovál,oval [ˈəʊ.vəl]
soucit,pity [ˈpɪt.i]
rybník,pond [pɒnd]
porter,porter [ˈpɔː.tər]
kořist,prey [preɪ]
prorok,prophet [ˈprɒf.ɪt]
referendum,referendum [ˌref.əˈren.dəm]
regulovat,regulate [ˈreɡ.jə.leɪt]
zaoblený,rounded [ˈraʊn.dɪd]
rubín,ruby [ˈruː.bi]
Sander,sander [ˈsæn.dər]
sezónní,seasonal [ˈsiː.zən.əl]
rozumný,sensible [ˈsen.sə.bəl]
pokračování,sequel [ˈsiː.kwəl]
Posun,shifting [ˈʃɪf.tɪŋ]
Spinning,spinning [ˈspɪn.ɪŋ]
spoluhráč,teammate [ˈtiːm.meɪt]
okres,township [ˈtaʊn.ʃɪp]
zkroucené,twisted [ˈtwɪs.tɪd]
přebrodit,wade [weɪd]
velryba,whale [weɪl]
obdivovat,admire [ədˈmaɪər]
jantar,amber [ˈæm.bər]
kotník,ankle [ˈæŋ.kəl]
autismus,autism [ˈɔː.tɪ.zəm]
Bakalář,bachelor [ˈbætʃ.əl.ər]
bobule,berry [ˈber.i]
tyran,bully [ˈbʊl.i]
kapitalismus,capitalism [ˈkæp.ɪ.təl.ɪ.zəm]
Pozor,caution [ˈkɔː.ʃən]
osvědčení,certification [ˌsɜː.tɪ.fɪˈkeɪ.ʃən]
klan,clan [klæn]
střet,clash [klæʃ]
kompatibilní,compatible [kəmˈpæt.ə.bəl]
odsoudit,condemn [kənˈdem]
konfigurace,configuration [kənˌfɪɡ.əˈreɪ.ʃən]
explozivní,explosive [ɪkˈspləʊ.sɪv]
povodně,flooding [ˈflʌd.ɪŋ]
štěstí,fortunate [ˈfɔː.tʃən.ət]
naštěstí,fortunately [ˈfɔː.tʃən.ət.li]
hranice,frontier [ˈfrʌn.tɪər]
frustrace,frustration [frʌsˈtreɪ.ʃən]
zeměpisný,geographic [ˌdʒi.əˈɡræf.ɪk]
uchopit,grasp [ɡrɑːsp]
šikovný,handy [ˈhæn.di]
škodlivý,harmful [ˈhɑːm.fəl]
bolest hlavy,headache [ˈhed.eɪk]
pobídka,incentive [ɪnˈsen.tɪv]
včetně,inclusive [ɪnˈkluː.sɪv]
líbání,kissing [kɪs]
šílenství,madness [ˈmæd.nəs]
mandát,mandate [ˈmæn.deɪt]
nezapomenutelné,memorable [ˈmem.ər.ə.bəl]
fúze,merger [ˈmɜː.dʒər]
Po,po [ˌpiːˈəʊ]
poker,poker [ˈpəʊ.kər]
přenosný,portable [ˈpɔː.tə.bəl]
náhodně,randomly [ˈræn.dəm.li]
loupež,robbery [ˈrɒb.ər.i]
třít,rub [rʌb]
výpad,sally [ˈsæl.i]
rozptyl,scatter [ˈskæt.ər]
skaut,scout [skaʊt]
sexualita,sexuality [ˌsek.ʃuˈæl.ə.ti]
políček,slap [slæp]
steak,steak [steɪk]
posloupnost,succession [səkˈseʃ.ən]
superintendent,superintendent [ˌsuː.pər.ɪnˈten.dənt]
podezření,suspicion [səˈspɪʃ.ən]
zametat,sweep [swiːp]
taktický,tactical [ˈtæk.tɪ.kəl]
terapeut,therapist [ˈθer.ə.pɪst]
poté,thereafter [ˌðeəˈrɑːf.tər]
důkladné,thorough [ˈθʌr.ə]
výuka,tuition [tʃuːˈɪʃ.ən]
nádor,tumor [ˈtuː.mɚ]
velkoobchod,wholesale [ˈhəʊl.seɪl]
spravovat,administer [ədˈmɪn.ɪ.stər]
architektonický,architectural [ˌɑː.kɪˈtek.tʃər.əl]
dělostřelectvo,artillery [ɑːˈtɪl.ər.i]
shromáždit,assemble [əˈsem.bəl]
plátno,canvas [ˈkæn.vəs]
kaňon,canyon [ˈkæn.jən]
tvář,cheek [tʃiːk]
oběžník,circular [ˈsɜː.kjə.lər]
oběh,circulation [ˌsɜː.kjəˈleɪ.ʃən]
odbavení,clearance [ˈklɪə.rəns]
koncentrovaný,concentrated [ˈkɒn.sən.treɪ.tɪd]
svědomí,conscience [ˈkɒn.ʃəns]
nespočet,countless [ˈkaʊnt.ləs]
kari,curry [ˈkʌr.i]
dáma,dame [deɪm]
zesnout,decease [dɪˈsiːs]
věnování,dedication [ˌded.ɪˈkeɪ.ʃən]
zadržení,detention [dɪˈten.ʃən]
kačer,drake [dreɪk]
vynutit,enforce [ɪnˈfɔːs]
explicitní,explicit [ɪkˈsplɪs.ɪt]
výslovně,explicitly [ɪkˈsplɪs.ɪt.li]
chřipka,flu [fluː]
zakázat,forbid [fəˈbɪd]
zlomek,fraction [ˈfræk.ʃən]
pěchota,infantry [ˈɪn.fən.tri]
integrální,integral [ˈɪn.tɪ.ɡrəl]
unést,kidnap [ˈkɪd.næp]
lehce,lightly [ˈlaɪt.li]
mramor,marble [ˈmɑː.bəl]
námořní,maritime [ˈmær.ɪ.taɪm]
tát,melt [melt]
kandidát,nominee [ˌnɒm.ɪˈniː]
přísaha,oath [əʊθ]
vlastenec,patriot [ˈpæt.ri.ət]
čurat,pee [piː]
polštář,pillow [ˈpɪl.əʊ]
polární,polar [ˈpəʊ.lər]
předpověď,prediction [prɪˈdɪk.ʃən]
náhled,preview [ˈpriː.vjuː]
hádanka,puzzle [ˈpʌz.əl]
rapper,rapper [ˈræp.ər]
rekonstrukce,reconstruction [ˌriː.kənˈstrʌk.ʃən]
zjevení,revelation [ˌrev.əˈleɪ.ʃən]
sukně,skirt [skɜːt]
společensky,socially [ˈsəʊ.ʃəl.i]
lázně,spa [spɑː]
špice,spike [spaɪk]
