kvalifikovat se,qualify [ˈkwɒl.ɪ.faɪ]
starý,aged [eɪdʒd]
schválení,approval [əˈpruː.vəl]
aspekt,aspect [ˈæs.pekt]
chléb,bread [bred]
spalující,burning [ˈbɜː.nɪŋ]
zvyklost,convention [kənˈven.ʃən]
tancování,dancing [ˈdɑːn.sɪŋ]
vajíčko,egg [eɡ]
inženýr,engineer [ˌen.dʒɪˈnɪər]
ekvivalent,equivalent [ɪˈkwɪv.əl.ənt]
docela,fairly [ˈfeə.li]
prst,finger [ˈfɪŋ.ɡər]
brod,ford [fɔːd]
gang,gang [ɡæŋ]
absolvent,graduate [ˈɡrædʒ.u.ət]
vnitřní,inner [ˈɪn.ər]
svezení,lift [lɪft]
mlynář,miller [ˈmɪl.ər]
měsíční,monthly [ˈmʌn.θli]
sousedství,neighborhood [ˈneɪ.bɚ.hʊd]
provozovat,operate [ˈɒp.ər.eɪt]
vynikající,outstanding [ˌaʊtˈstæn.dɪŋ]
svolení,permission [pəˈmɪʃ.ən]
závodění,racing [ˈreɪ.sɪŋ]
předpis,regulation [ˌreɡ.jəˈleɪ.ʃən]
odpověď,reply [rɪˈplaɪ]
zbavit,rid [rɪd]
vědec,scientist [ˈsaɪ.ən.tɪst]
rameno,shoulder [ˈʃəʊl.dər]
sprcha,shower [ʃaʊər]
věž,tower [taʊər]
tradice,tradition [trəˈdɪʃ.ən]
vizuální,visual [ˈvɪʒ.u.əl]
kolo,wheel [wiːl]
jmenování,appointment [əˈpɔɪnt.mənt]
sotva,barely [ˈbeə.li]
(o)slavit,celebrate [ˈsel.ə.breɪt]
čokoláda,chocolate [ˈtʃɒk.lət]
uhlí,coal [kəʊl]
barva,colour [ˈkʌl.ər]
soudobý,contemporary [kənˈtem.pər.ər.i]
kritika,criticism [ˈkrɪt.ɪ.sɪ.zəm]
efektivně,effectively [ɪˈfek.tɪv.li]
rozsáhlý,extensive [ɪkˈsten.sɪv]
utváření,formation [fɔːˈmeɪ.ʃən]
galerie,gallery [ˈɡæl.ər.i]
dálnice,highway [ˈhaɪ.weɪ]
historický,historic [hɪˈstɒr.ɪk]
lovit(zvěř ap.),hunt [hʌnt]
zlepšení,improvement [ɪmˈpruːv.mənt]
palec(míra),inch [ɪntʃ]
nejprve,initially [ɪˈnɪʃ.əl.i]
služebně mladší,junior [ˈdʒuː.ni.ər]
porota,jury [ˈdʒʊə.ri]
netvor,monster [ˈmɒn.stər]
získat,obtain [əbˈteɪn]
filozofie,philosophy [fɪˈlɒs.ə.fi]
pýcha,pride [praɪd]
(z)opakovat,repeat [rɪˈpiːt]
drsný(povrch),rough [rʌf]
urovnání(sporu),settlement [ˈset.əl.mənt]
pach,smell [smel]
reproduktor,speaker [ˈspiː.kər]
obklopit,surround [səˈraʊnd]
tón,tone [təʊn]
téma,topic [ˈtɒp.ɪk]
univerzální,universal [ˌjuː.nɪˈvɜː.səl]
obrovský,vast [vɑːst]
návštěvník,visitor [ˈvɪz.ɪ.tər]
auto,auto [ˈɔː.təʊ]
důsledný,consistent [kənˈsɪs.tənt]
šedá,grey [ɡreɪ]
kytara,guitar [ɡɪˈtɑːr]
ignorovat,ignore [ɪɡˈnɔːr]
jídlo,meal [mɪəl]
zatím,meanwhile [ˈmiːn.waɪl]
přirozeně,naturally [ˈnætʃ.ər.əl.i]
nutně,necessarily [nes.əˈser.əl.i]
hekat,pant [pænt]
partnerství,partnership [ˈpɑːt.nə.ʃɪp]
procento,percentage [pəˈsen.tɪdʒ]
kapsa,pocket [ˈpɒk.ɪt]
praktický,practical [ˈpræk.tɪ.kəl]
především,primarily [praɪˈmer.əl.i]
bez ohledu na to,regardless [rɪˈɡɑːd.ləs]
spěchat,rush [rʌʃ]
ostrý,sharp [ʃɑːp]
fotbal,soccer [ˈsɒk.ər]
stáj,stable [ˈsteɪ.bəl]
příznak,symptom [ˈsɪmp.təm]
dočasný,temporary [ˈtem.pər.ər.i]
trik,trick [trɪk]
kost,bone [bəʊn]
komorní,chamber [ˈtʃeɪm.bər]
diagram,chart [tʃɑːt]
obvod,circuit [ˈsɜː.kɪt]
oblečení,clothing [ˈkləʊ.ðɪŋ]
(z)komplikovat,complicate [ˈkɒm.plɪ.keɪt]
následek,consequence [ˈkɒn.sɪ.kwəns]
bránit(před útokem),defend [dɪˈfend]
rozdělit,divide [dɪˈvaɪd]
každodenní,everyday [ˈev.ri.deɪ]
rozsah,extent [ɪkˈstent]
rybaření,fishing [ˈfɪʃ.ɪŋ]
formát,format [ˈfɔː.mæt]
mezera,gap [ɡæp]
brána,gate [ɡeɪt]
ublížit,harm [hɑːm]
domácnost,household [ˈhaʊs.həʊld]
přistěhovalectví,immigration [ˌɪm.ɪˈɡreɪ.ʃən]
působivý,impressive [ɪmˈpres.ɪv]
zabiják,killer [ˈkɪl.ər]
lekce,lesson [ˈles.ən]
členství,membership [ˈmem.bə.ʃɪp]
zrcadlo,mirror [ˈmɪr.ər]
parkoviště,parking [ˈpɑː.kɪŋ]
návrh,proposal [prəˈpəʊ.zəl]
provincie,province [ˈprɒv.ɪns]
rozpoznání,recognition [ˌrek.əɡˈnɪʃ.ən]
pověst,reputation [ˌrep.jəˈteɪ.ʃən]
krátce,shortly [ˈʃɔːt.li]
silně,strongly [ˈstrɒŋ.li]
slza,tear [teər]
tenký,thin [θɪn]
obvinit,accuse [əˈkjuːz]
dobrodružství,adventure [ədˈven.tʃər]
hádat se,argue [ˈɑːɡ.juː]
vyměření,assessment [əˈses.mənt]
atmosféra,atmosphere [ˈæt.mə.sfɪər]
hrozný,awful [ˈɔː.fəl]
ložnice,bedroom [ˈbed.ruːm]
víra,belief [bɪˈliːf]
svázat (spoutat),bind [baɪnd]
opatrně,carefully [ˈkeə.fəl.i]
kontrast,contrast [ˈkɒn.trɑːst]
jinde,elsewhere [ˌelsˈweər]
rozšíření,extension [ɪkˈsten.ʃən]
zakladatel,founder [ˈfaʊn.dər]
(ozubený) převod,gear [ɡɪər]
hip,hip [hɪp]
infrastruktura,infrastructure [ˈɪn.frəˌstrʌk.tʃər]
volný (oděv ap.),loose [luːs]
morální,moral [ˈmɒr.əl]
urážlivý,offensive [əˈfen.sɪv]
balík,package [ˈpæk.ɪdʒ]
chudoba,poverty [ˈpɒv.ə.ti]
železnice,railway [ˈreɪl.weɪ]
směšný,ridiculous [rɪˈdɪk.jə.ləs]
citlivý,sensitive [ˈsen.sɪ.tɪv]
server,server [ˈsɜː.vər]
šok,shock [ʃɒk]
ticho,silence [ˈsaɪ.ləns]
"lepší (vyšší,kvalitnější)",superior [suːˈpɪə.ri.ər]
podporovatel,supporter [səˈpɔː.tər]
tlustý (deska ap.),thick [θɪk]
tuna,ton [tʌn]
přechod (změna stavu),transition [trænˈzɪʃ.ən]
násilný,violent [ˈvaɪə.lənt]
volič,voter [ˈvəʊ.tər]
(u)mýt,wash [wɒʃ]
kyselina,acid [ˈæs.ɪd]
herečka,actress [ˈæk.trəs]
administrativní,administrative [ədˈmɪn.ɪ.strə.tɪv]
podél,alongside [əˌlɒŋˈsaɪd]
anděl,angel [ˈeɪn.dʒəl]
úzkost,anxiety [æŋˈzaɪ.ə.ti]
bonus,bonus [ˈbəʊ.nəs]
hrad,castle [ˈkɑː.səl]
charita,charity [ˈtʃær.ə.ti]
vaření,cooking [ˈkʊk.ɪŋ]
zvědavý,curious [ˈkjʊə.ri.əs]
objev (vědecký),discovery [dɪˈskʌv.ər.i]
vévoda,duke [dʒuːk]
povzbudit,encourage [ɪnˈkʌr.ɪdʒ]
vymáhání (vynucení dodržení),enforcement [ɪnˈfɔːs.mənt]
záblesk,flash [flæʃ]
formální,formal [ˈfɔː.məl]
vzorec (sloučeniny ap.),formula [ˈfɔː.mjə.lə]
pevnost,fort [fɔːt]
šedá,gray [ɡreɪ]
"hrubý (chování, jazyk ap.)",gross [ɡrəʊs]
hladový,hungry [ˈhʌŋ.ɡri]
informovat,inform [ɪnˈfɔːm]
nevinný,innocent [ˈɪn.ə.sənt]
matematika,math [mæθ]
tajemství,mystery [ˈmɪs.tər.i]
palác,palace [ˈpæl.ɪs]
postih,penalty [ˈpen.əl.ti]
domácí mazlíček,pet [pet]
fotografování,photography [fəˈtɒɡ.rə.fi]
protest,protest [ˈprəʊ.test]
publikování,publication [ˌpʌb.lɪˈkeɪ.ʃən]
(o)hodnocení,rating [ˈreɪ.tɪŋ]
tichý,silent [ˈsaɪ.lənt]
úspěšně,successfully [səkˈses.fəl.i]
chrám,temple [ˈtem.pəl]
stezka,trail [treɪl]
strýc,uncle [ˈʌŋ.kəl]
neobvyklý,unusual [ʌnˈjuː.ʒu.əl]
příjezd,arrival [əˈraɪ.vəl]
útok,assault [əˈsɒlt]
povědomí,awareness [əˈweə.nəs]
špatně,badly [ˈbæd.li]
koupel,bath [bɑːθ]
zajmout,capture [ˈkæp.tʃər]
pronásledovat,chase [tʃeɪs]
součást(ka),component [kəmˈpəʊ.nənt]
beton,concrete [ˈkɒŋ.kriːt]
hluboce,deeply [ˈdiːp.li]
očekávání,expectation [ˌek.spekˈteɪ.ʃən]
vysvětlení,explanation [ˌek.spləˈneɪ.ʃən]
vystavení (vydání působení),exposure [ɪkˈspəʊ.ʒər]
beletrie,fiction [ˈfɪk.ʃən]
záruka,guarantee [ˌɡær.ənˈtiː]
štěstí,happiness [ˈhæp.i.nəs]
hrozný,horrible [ˈhɒr.ə.bəl]
ideál,ideal [aɪˈdiː.əl]
legenda,legend [ˈledʒ.ənd]
poručík,lieutenant [lefˈten.ənt]
nálada,mood [muːd]
sval,muscle [ˈmʌs.əl]
vášeň,passion [ˈpæʃ.ən]
procedura,procedure [prəˈsiː.dʒər]
výrobce,producer [prəˈdʒuː.sər]
hodnost,rank [ræŋk]
nahrazení,replacement [rɪˈpleɪs.mənt]
odejít do důchodu,retire [rɪˈtaɪər]
písek,sand [sænd]
úspora,saving [ˈseɪ.vɪŋ]
lavička (s opěradlem),settle [ˈset.əl]
stín,shadow [ˈʃæd.əʊ]
visačka,tag [tæɡ]
mzda,wage [weɪdʒ]
bulvár (ulice),avenue [ˈæv.ə.njuː]
nudný,boring [ˈbɔː.rɪŋ]
hodiny,clock [klɒk]
komisař,commissioner [kəˈmɪʃ.ən.ər]
závazek (dítě ap.),commitment [kəˈmɪt.mənt]
sebevědomý,confident [ˈkɒn.fɪ.dənt]
zvyk,custom [ˈkʌs.təm]
popřít,deny [dɪˈnaɪ]
psací stůl,desk [desk]
ucho,ear [ɪər]
elektřina,electricity [ˌel.ɪkˈtrɪs.ə.ti]
zemědělec,farmer [ˈfɑː.mər]
tělocvična,gym [dʒɪm]
nápomocný,helpful [ˈhelp.fəl]
hrůza,horror [ˈhɒr.ər]
štítek (etiketa),label [ˈleɪ.bəl]
nahý,naked [ˈneɪ.kɪd]
výstup (z počítače ap.),output [ˈaʊt.pʊt]
hřiště,pitch [pɪtʃ]
pizza,pizza [ˈpiːt.sə]
prostý (všední),plain [pleɪn]
zadní část,rear [rɪər]
odhalit,reveal [rɪˈviːl]
romantický,romantic [rəʊˈmæn.tɪk]
strategický,strategic [strəˈtiː.dʒɪk]
plavání,swimming [ˈswɪm.ɪŋ]
blaho(byt),welfare [ˈwel.feər]
drát,wire [waɪər]
poté,afterwards [ˈɑːf.tə.wədz]
v pořádku,alright [ɔːlˈraɪt]
hněv,anger [ˈæŋ.ɡər]
architektura,architecture [ˈɑː.kɪ.tek.tʃər]
pomáhat,assist [əˈsɪst]
jménem,behalf [bɪˈhɑːf]
pás(ek),belt [belt]
obřad,ceremony [ˈser.ɪ.mə.ni]
komik,comic [ˈkɒm.ɪk]
policajt,cop [kɒp]
návrhář,designer [dɪˈzaɪ.nər]
diamant,diamond [ˈdaɪə.mənd]
zklamat,disappoint [ˌdɪs.əˈpɔɪnt]
efektivní,efficient [ɪˈfɪʃ.ənt]
elektrický,electrical [ɪˈlek.trɪ.kəl]
zaměstnat,employ [ɪmˈplɔɪ]
v podstatě,essentially [ɪˈsen.ʃəl.i]
zřízení,establishment [ɪˈstæb.lɪʃ.mənt]
duch,ghost [ɡəʊst]
hokej,hockey [ˈhɒk.i]
lov(ení),hunting [ˈhʌn.tɪŋ]
sada,kit [kɪt]
nervózní,nervous [ˈnɜː.vəs]
čerstvě,newly [ˈnjuː.li]
zvláštní,odd [ɒd]
obyčejný,ordinary [ˈɔː.dən.əri]
(z)účastnit se,participate [pɑːˈtɪs.ɪ.peɪt]
modlitba,prayer [preər]
zásada,principle [ˈprɪn.sə.pəl]
rasista,racist [ˈreɪ.sɪst]
vzácně,rarely [ˈreə.li]
sexy,sexy [ˈsek.si]
půda,soil [sɔɪl]
(vy)řešit,solve [sɒlv]
žaludek,stomach [ˈstʌm.ək]
(vy)sát,suck [sʌk]
odpad(ky),trash [træʃ]
škaredý,ugly [ˈʌɡ.li]
virus,virus [ˈvaɪə.rəs]
chodec,walker [ˈwɔː.kər]
kdokoli,whoever [huːˈev.ər]
oživit (podpořit),boost [buːst]
pobočka (kancelář v jiném městě),bureau [ˈbjʊə.rəʊ]
plukovník,colonel [ˈkɜː.nəl]
pohodlí,comfort [ˈkʌm.fət]
bratranec,cousin [ˈkʌz.ən]
prasklina,crack [kræk]
paluba,deck [dek]
drak,dragon [ˈdræɡ.ən]
dramatický,dramatic [drəˈmæt.ɪk]
prach,dust [dʌst]
holandský,dutch [dʌtʃ]
vývoj,evolution [ˌiː.vəˈluː.ʃən]
najmout(si),hire [haɪər]
nemoc,illness [ˈɪl.nəs]
inspirace,inspiration [ˌɪn.spɪˈreɪ.ʃən]
nůž,knife [naɪf]
v poslední době,lately [ˈleɪt.li]
památník,memorial [məˈmɔː.ri.əl]
menšina,minority [maɪˈnɒr.ə.ti]
máma,mum [mʌm]
priorita,priority [praɪˈɒr.ə.ti]
povýšení,promotion [prəˈməʊ.ʃən]
kolej(nice),rail [reɪl]
čtenář,reader [ˈriː.dər]
vzdálený,remote [rɪˈməʊt]
opravit,repair [rɪˈpeər]
kořen,root [ruːt]
svatý,saint [seɪnt]
(u)krást,steal [stiːl]
telefon,telephone [ˈtel.ɪ.fəʊn]
získat,acquire [əˈkwaɪər]
aliance,alliance [əˈlaɪ.əns]
otravný,annoying [əˈnɔɪ.ɪŋ]
nabídka (do soutěže či dražby),bid [bɪd]
kamarád,buddy [ˈbʌd.i]
pohřbít,bury [ˈber.i]
máslo,butter [ˈbʌt.ər]
závěr,conclusion [kənˈkluː.ʒən]
gratulace,congratulation [kənˌɡrætʃ.əˈleɪ.ʃən]
přesvědčit,convince [kənˈvɪns]
blbost (vulgárně),crap [kræp]
křišťál,crystal [ˈkrɪs.təl]
děkan (univerzity),dean [diːn]
slušný (mravný),decent [ˈdiː.sənt]
pokles,decline [dɪˈklaɪn]
zpoždění,delay [dɪˈleɪ]
poušť,desert [ˈdez.ət]
centrum města,downtown [ˌdaʊnˈtaʊn]
elita,elite [iˈliːt]
poskok (poskočení),hop [hɒp]
duševně chorý,insane [ɪnˈseɪn]
přistání,landing [ˈlæn.dɪŋ]
vrstva,layer [ˈleɪ.ər]
vzít si (sňatkem),marry [ˈmær.i]
nikde,nowhere [ˈnəʊ.weər]
zdravotní sestra,nurse [nɜːs]
organický,organic [ɔːˈɡæn.ɪk]
vlastnictví,ownership [ˈəʊ.nə.ʃɪp]
účastník,participant [pɑːˈtɪs.ɪ.pənt]
poezie,poetry [ˈpəʊ.ɪ.tri]
hrnec,pot [pɒt]
modlit se,pray [preɪ]
vzpomenout (si),recall [rɪˈkɔːl]
saké,sake [seɪk]
prostěradlo,sheet [ʃiːt]
hladký,smooth [smuːð]
duchovní,spiritual [ˈspɪr.ɪ.tʃu.əl]
provázek,string [strɪŋ]
náhlý,sudden [ˈsʌd.ən]
dovolená,vacation [veɪˈkeɪ.ʃən]
do/v zahraničí,abroad [əˈbrɔːd]
přidělit,assign [əˈsaɪn]
Atlantik,atlantic [ətˈlæn.tɪk]
lavička,bench [bentʃ]
obtěžovat se,bother [ˈbɒð.ər]
vysílat (televizí ap.),broadcast [ˈbrɔːd.kɑːst]
nashle,bye [baɪ]
uklízení,cleaning [ˈkliː.nɪŋ]
soutěžit,compete [kəmˈpiːt]
skládat se,consist [kənˈsɪst]
přispět,contribute [kənˈtrɪb.juːt]
kriket,cricket [ˈkrɪk.ɪt]
vchod,entrance [ˈen.trəns]
stejně,equally [ˈiː.kwə.li]
fitness,fitness [ˈfɪt.nəs]
přátelství,friendship [ˈfrend.ʃɪp]
idiot,idiot [ˈɪd.i.ət]
intenzivní,intense [ɪnˈtens]
životnost,lifetime [ˈlaɪf.taɪm]
kapalina,liquid [ˈlɪk.wɪd]
medaile,medal [ˈmed.əl]
hypotéka,mortgage [ˈmɔː.ɡɪdʒ]
vyprávění (slohový útvar),narrative [ˈnær.ə.tɪv]
úzký (na šířku),narrow [ˈnær.əʊ]
pozorovat,observe [əbˈzɜːv]
příležitostně,occasionally [əˈkeɪ.ʒən.əl.i]
pánev,pan [pæn]
fyzika,physics [ˈfɪz.ɪks]
potenciálně,potentially [pəˈten.ʃəl.i]
snížení,reduction [rɪˈdʌk.ʃən]
odrážet,reflect [rɪˈflekt]
výzkumník,researcher [rɪˈsɜː.tʃər]
hloupý,silly [ˈsɪl.i]
následný,subsequent [ˈsʌb.sɪ.kwənt]
překlad,translation [trænzˈleɪ.ʃən]
viditelný,visible [ˈvɪz.ə.bəl]
jo,yep [jep]
novelizace (zákona ap.),amendment [əˈmend.mənt]
úhel,angle [ˈæŋ.ɡəl]
patřit,belong [bɪˈlɒŋ]
biskup,bishop [ˈbɪʃ.əp]
běžně,commonly [ˈkɒm.ən.li]
obranný,defensive [dɪˈfen.sɪv]
účinnost,efficiency [ɪˈfɪʃ.ən.si]
podnik,enterprise [ˈen.tə.praɪz]
experiment,experiment [ɪkˈsper.ɪ.mənt]
nález (nalezení),finding [ˈfaɪn.dɪŋ]
fórum,forum [ˈfɔː.rəm]
tráva,grass [ɡrɑːs]
(a) proto,hence [hens]
čím dál tím víc(e),increasingly [ɪnˈkriː.sɪŋ.li]
neuvěřitelně,incredibly [ɪnˈkred.ə.bli]
sojka,jay [dʒeɪ]
novinář,journalist [ˈdʒɜː.nə.lɪst]
mlýn,mill [mɪl]
příležitost,occasion [əˈkeɪ.ʒən]
tempo (rychlost ap.),pace [peɪs]
cestující,passenger [ˈpæs.ən.dʒər]
mít něco u sebe / držet něco,possession [pəˈzeʃ.ən]
překotný,rapid [ˈræp.ɪd]
(o)točit (se) (kolem osy),spin [spɪn]
vhodný,suitable [ˈsuː.tə.bəl]
platný,valid [ˈvæl.ɪd]
vitální,vital [ˈvaɪ.təl]
"zatímco (form., kniž.)",whilst [waɪlst]
zemědělství,agriculture [ˈæɡ.rɪ.kʌl.tʃər]
tvrdit (nepodloženě),allege [əˈledʒ]
obchod (odvětví),commerce [ˈkɒm.ɜːs]
potok,creek [kriːk]
měna,currency [ˈkʌr.ən.si]
emoce,emotion [ɪˈməʊ.ʃən]
výstava,exhibition [ˌek.sɪˈbɪʃ.ən]
podvod,fraud [frɔːd]
pohřeb,funeral [ˈfjuː.nər.əl]
pravý (opravdový),genuine [ˈdʒen.ju.ɪn]
med,honey [ˈhʌn.i]
hák,hook [hʊk]
přistěhovalec,immigrant [ˈɪm.ɪ.ɡrənt]
pokyn,instruction [ɪnˈstrʌk.ʃən]
dědictví (národní ap.),legacy [ˈleɡ.ə.si]
poleno,log [lɒɡ]
pouze,merely [ˈmɪə.li]
monitor,monitor [ˈmɒn.ɪ.tər]
poměr,ratio [ˈreɪ.ʃi.əʊ]
litovat,regret [rɪˈɡret]
zavrhnout (zamítnout),reject [rɪˈdʒekt]
připomenout,remind [rɪˈmaɪnd]
letovisko,resort [rɪˈzɔːt]
zvrátit,reverse [rɪˈvɜːs]
rutina,routine [ruːˈtiːn]
strašidelný,scary [ˈskeə.ri]
semínko,seed [siːd]
hřích,sin [sɪn]
(vy)hláskovat ,spell [spel]
shrnutí,summary [ˈsʌm.ər.i]
přežití,survival [səˈvaɪ.vəl]
meč,sword [sɔːd]
jazyk,tongue [tʌŋ]
oddělení (v nemocnici),ward [wɔːd]
úspěch,achievement [əˈtʃiːv.mənt]
automatický,automatic [ˌɔː.təˈmæt.ɪk]
chování,behaviour [bɪˈheɪ.vjər]
kabát,coat [kəʊt]
vyčerpávající,comprehensive [ˌkɒm.prɪˈhen.sɪv]
souhlas (svolení) ,consent [kənˈsent]
tatínek,daddy [ˈdæd.i]
zkáza,destruction [dɪˈstrʌk.ʃən]
mimořádný,extraordinary [ɪkˈstrɔː.dɪn.ər.i]
osud,fate [feɪt]
četnost,frequency [ˈfriː.kwən.si]
gen,gene [dʒiːn]
sláva,glory [ˈɡlɔː.ri]
ústředí,headquarters [ˌhedˈkwɔː.təz]
dědictví,heritage [ˈher.ɪ.tɪdʒ]
iniciativa,initiative [ɪˈnɪʃ.ə.tɪv]
šťáva,juice [dʒuːs]
krajina,landscape [ˈlænd.skeɪp]
logika,logic [ˈlɒdʒ.ɪk]
objektivní,objective [əbˈdʒek.tɪv]
soukromí,privacy [ˈprɪv.ə.si]
bydliště (místo pobytu),residence [ˈrez.ɪ.dəns]
hrubě,roughly [ˈrʌf.li]
plat,salary [ˈsæl.ər.i]
scénář,script [skrɪpt]
proužek,strip [strɪp]
vyhrožovat,threaten [ˈθret.ən]
trubka (roura) ,tube [tʃuːb]
velvyslanec,ambassador [æmˈbæs.ə.dər]
bankovnictví,banking [ˈbæŋ.kɪŋ]
prsa,breast [brest]
chemie,chemistry [ˈkem.ɪ.stri]
usoudit,conclude [kənˈkluːd]
spotřeba,consumption [kənˈsʌmp.ʃən]
korupce,corruption [kəˈrʌp.ʃən]
bavlna,cotton [ˈkɒt.ən]
sleva,discount [ˈdɪs.kaʊnt]
tucet,dozen [ˈdʌz.ən]
epos,epic [ˈep.ɪk]
výjimka,exception [ɪkˈsep.ʃən]
východ,exit [ˈek.sɪt]
rozšířit,expand [ɪkˈspænd]
nóbl,fancy [ˈfæn.si]
nádherný,gorgeous [ˈɡɔː.dʒəs]
vděčný,grateful [ˈɡreɪt.fəl]
dojem,impression [ɪmˈpreʃ.ən]
naznačovat,indicate [ˈɪn.dɪ.keɪt]
vstup (odb.)(místo přívodu),input [ˈɪn.pʊt]
zaťukat,knock [nɒk]
"kůže (zvířecí, k výrobě ap.)",leather [ˈleð.ər]
ret,lip [lɪp]
přepych,luxury [ˈlʌk.ʃər.i]
text písně,lyric [ˈlɪr.ɪk]
výrobce,manufacturer [ˌmæn.jəˈfæk.tʃər.ər]
by měl,ought [ɔt]
odstranění,removal [rɪˈmuː.vəl]
zpravodaj,reporter [rɪˈpɔː.tər]
okrást,rob [rɒb]
výkřik,scream [skriːm]
posloupnost,sequence [ˈsiː.kwəns]
rozprostírat se,stretch [stretʃ]
tenis,tennis [ˈten.ɪs]
terorista,terrorist [ˈter.ə.rɪst]
divadlo,theater [ˈθɪə.tər]
panna,virgin [ˈvɜː.dʒɪn]
vlk,wolf [wʊlf]
nepřítomnost,absence [ˈæb.səns]
zemědělský,agricultural [ˌæɡ.rɪˈkʌl.tʃər.əl]
sportovec,athlete [ˈæθ.liːt]
býk,bull [bʊl]
příspěvek,contribution [ˌkɒn.trɪˈbjuː.ʃən]
lahodný,delicious [dɪˈlɪʃ.əs]
snadnost,ease [iːz]
sláva,fame [feɪm]
povodeň,flood [flʌd]
generovat,generate [ˈdʒen.ə.reɪt]
genetický,genetic [dʒəˈnet.ɪk]
zapůsobit,impress [ɪmˈpres]
okamžik,instant [ˈɪn.stənt]
investor,investor [ɪnˈves.tər]
svoboda,liberty [ˈlɪb.ə.ti]
fotografie,photograph [ˈfəʊ.tə.ɡrɑːf]
pokrokový,progressive [prəˈɡres.ɪv]
trest,punishment [ˈpʌn.ɪʃ.mənt]
shromáždění,rally [ˈræl.i]
rychle,rapidly [ˈræp.ɪd.li]
zastoupení,representation [ˌrep.rɪ.zenˈteɪ.ʃən]
součet,sum [sʌm]
houpat (se),swing [swɪŋ]
ocas,tail [teɪl]
dvojče,twin [twɪn]
nadcházející,upcoming [ˈʌpˌkʌm.ɪŋ]
veterán,veteran [ˈvet.ər.ən]
ostražitý,alert [əˈlɜːt]
aréna,arena [əˈriː.nə]
(policejní) obušek,billy [ˈbɪl.i]
rozmach,boom [buːm]
bota (vysoká),boot [buːt]
statečný,brave [breɪv]
sloupec,column [ˈkɒl.əm]
odškodnění,compensation [ˌkɒm.penˈseɪ.ʃən]
složení (ze složek),composition [ˌkɒm.pəˈzɪʃ.ən]
přechod,crossing [ˈkrɒs.ɪŋ]
hustota,density [ˈden.sɪ.ti]
obtížnost,difficulty [ˈdɪf.ɪ.kəl.ti]
základní,elementary [ˌel.ɪˈmen.tər.i]
etnický,ethnic [ˈeθ.nɪk]
výdaj,expense [ɪkˈspens]
flotila,fleet [fliːt]
pěstounský,foster [ˈfɒs.tər]
základní,fundamental [ˌfʌn.dəˈmen.təl]
génius,genius [ˈdʒiː.ni.əs]
velice,greatly [ˈɡreɪt.li]
