hřeben,comb [kəʊm]
erekce,erection [ɪˈrek.ʃən]
výbuch,eruption [ɪˈrʌp.ʃən]
zkoušející,examiner [ɪɡˈzæm.ɪ.nər]
fam,fam [fæm]
věrnost,fidelity [fɪˈdel.ə.ti]
jemně,finely [ˈfaɪn.li]
plynulý,fluent [ˈfluː.ənt]
flétna,flute [fluːt]
stopa,footprint [ˈfʊt.prɪnt]
přední,fore [fɔːr]
popředí,forefront [ˈfɔː.frʌnt]
formulovat,formulate [ˈfɔː.mjə.leɪt]
ztvrdnout,harden [ˈhɑː.dən]
nenávistný,hateful [ˈheɪt.fəl]
hepatitida,hepatitis [ˌhep.əˈtaɪ.tɪs]
obývat,inhabit [ɪnˈhæb.ɪt]
zahájení,initiation [ɪˌnɪʃ.iˈeɪ.ʃən]
intenzivně,intensely [ɪnˈtens.li]
ohrožení,jeopardy [ˈdʒep.ə.di]
mandarinka,mandarin [ˈmæn.dər.ɪn]
stožár,mast [mɑːst]
Matte,matte [mæt]
průměrný,mediocre [ˌmiː.diˈəʊ.kər]
nikotin,nicotine [ˈnɪk.ə.tiːn]
vnější,outward [ˈaʊt.wəd]
přecenit,overrate [ˌəʊ.vəˈreɪt]
říz,pep [pep]
pirátství,piracy [ˈpaɪ.rə.si]
četa,platoon [pləˈtuːn]
blouznit,rave [reɪv]
znovu vytvořit,recreate [ˌriː.kriˈeɪt]
reziduální,residual [rɪˈzɪd.ju.əl]
župan,robe [rəʊb]
žito,rye [raɪ]
senzační,sensational [senˈseɪ.ʃən.əl]
kuřák,smoker [ˈsməʊ.kər]
záludný,sneaky [ˈsniː.ki]
zásuvka,socket [ˈsɒk.ɪt]
hladovění,starvation [stɑːˈveɪ.ʃən]
stolice,stool [stuːl]
zasažený,stricken [ˈstrɪk.ən]
systematicky,systematically [ˌsɪs.təˈmæt.ɪ.kəl.i]
Tibet,tibet [tɪˈbet]
šlapat,tread [tred]
zmatek,turmoil [ˈtɜː.mɔɪl]
tyranie,tyranny [ˈtɪr.ən.i]
pneumatika,tyre [taɪər]
nevhodné,unfit [ʌnˈfɪt]
udržovat,uphold [ʌpˈhəʊld]
jez,weir [wɪər]
Wonderland,wonderland [ˈwʌn.dəl.ænd]
zápasník,wrestler [ˈres.lər]
Zoning,zoning [ˈzəʊ.nɪŋ]
zrušení,abolition [ˌæb.əˈlɪʃ.ən]
přístupnost,accessibility [əkˌses.əˈbɪl.ə.ti]
seznámit,acquaint [əˈkweɪnt]
nahlas,aloud [əˈlaʊd]
úhlové,angular [ˈæŋ.ɡjə.lər]
přední,anterior [ænˈtɪə.ri.ər]
dodatek,appendix [əˈpen.dɪks]
hlediště,auditorium [ˌɔː.dɪˈtɔː.ri.əm]
benigní,benign [bɪˈnaɪn]
bělidlo,bleach [bliːtʃ]
brandy,brandy [ˈbræn.di]
pokraj,brink [brɪŋk]
drzý,cheeky [ˈtʃiː.ki]
chemik,chemist [ˈkem.ɪst]
kobra,cobra [ˈkəʊ.brə]
spolupracovat,collaborate [kəˈlæb.ə.reɪt]
poměrně,comparatively [kəmˈpær.ə.tɪv.li]
kosmos,cosmos [ˈkɒz.mɒs]
manžeta,cuff [kʌf]
cyklón,cyclone [ˈsaɪ.kləʊn]
věnovat,dedicate [ˈded.ɪ.keɪt]
depozice,deposition [ˌdep.əˈzɪʃ.ən]
Dirigence,diligence [ˈdɪl.ɪ.dʒəns]
diskriminovat,discriminate [dɪˈskrɪm.ɪ.neɪt]
odklon,diversion [daɪˈvɜː.ʃən]
vchod,doorway [ˈdɔː.weɪ]
výňatek,excerpt [ˈek.sɜːpt]
existující,existent [ɪɡˈzɪs.tənt]
vymyslet,fabricate [ˈfæb.rɪ.keɪt]
nepřítel,foe [fəʊ]
útěk,getaway [ˈɡet.ə.weɪ]
půvab,glamour [ˈɡlæm.ər]
mimochodem,incidentally [ˌɪn.sɪˈden.təl.i]
nekonečně,infinitely [ˈɪn.fɪ.nət.li]
nahustit,inflate [ɪnˈfleɪt]
chřipka,influenza [ˌɪn.fluˈen.zə]
instruktážní,instructional [ɪnˈstrʌk.ʃən.əl]
tazatel,interviewer [ˈɪn.tə.vjuː.ər]
podkroví,loft [lɒft]
masivně,massively [ˈmæs.ɪv.li]
zprostředkující,mediate [ˈmiː.di.eɪt]
zprostředkování,mediation [ˌmiː.diˈeɪ.ʃən]
modulární,modular [ˈmɒdʒ.ə.lər]
psanec,outlaw [ˈaʊt.lɔː]
dohlížet,oversee [ˌəʊ.vəˈsiː]
Pageant,pageant [ˈpædʒ.ənt]
padák,parachute [ˈpær.ə.ʃuːt]
parazit,parasite [ˈpær.ə.saɪt]
rodičovství,parenthood [ˈpeə.rənt.hʊd]
trvalka,perennial [pəˈren.i.əl]
perzistence,persistence [pəˈsɪs.təns]
Porto,porto [ˌpɔː.təʊ əˈleɡ.ri]
poštovné,postage [ˈpəʊ.stɪdʒ]
předškolní,preschool [ˈpriː.skuːl]
procesní,procedural [prəˈsiː.dʒər.əl]
hluboce,profoundly [prəˈfaʊnd.li]
výslovnost,pronunciation [prəˌnʌn.siˈeɪ.ʃən]
provokovat,provoke [prəˈvəʊk]
citát,quotation [kwəʊˈteɪ.ʃən]
neúnavný,relentless [rɪˈlent.ləs]
zbytek,remnant [ˈrem.nənt]
represe,repression [rɪˈpreʃ.ən]
dotisk,reprint [ˌriːˈprɪnt]
směšně,ridiculously [rɪˈdɪk.jə.ləs.li]
specializujte se,specialize [ˈspeʃ.əl.aɪz]
spekulativní,speculative [ˈspek.jə.lə.tɪv]
ponoření,submerge [səbˈmɜːdʒ]
symetrie,symmetry [ˈsɪm.ə.tri]
syndikát,syndicate [ˈsɪn.dɪ.kət]
Utáhněte,tighten [ˈtaɪ.tən]
důvěryhodný,trustworthy [ˈtrʌstˌwɜː.ði]
dvanáctý,twelfth [twelfθ]
Usher,usher [ˈʌʃ.ər]
cévní,vascular [ˈvæs.kjə.lər]
zdravý,wholesome [ˈhəʊl.səm]
absorbující,absorbing [əbˈzɔː.bɪŋ]
sousedí,adjoin [əˈdʒɔɪn]
původ,ancestry [ˈæn.ses.tri]
anektovat,annex [ænˈeks]
rozšířit,augment [ɔːɡˈment]
zanícený,avid [ˈæv.ɪd]
bárka,barge [bɑːdʒ]
barman,bartender [ˈbɑːˌten.dər]
bříza,birch [bɜːtʃ]
Bland,bland [blænd]
svatební,bridal [ˈbraɪ.dəl]
brokolice,broccoli [ˈbrɒk.əl.i]
kartáčování,brushing [brʌʃ]
přezka,buckle [ˈbʌk.əl]
kánoe,canoe [kəˈnuː]
chladný,chilly [ˈtʃɪl.i]
jablečný mošt,cider [ˈsaɪ.dər]
vědomě,consciously [ˈkɒn.ʃəs.li]
korelát,correlate [ˈkɒr.ə.leɪt]
kolébka,cradle [ˈkreɪ.dəl]
mrzák,cripple [ˈkrɪp.əl]
slušnost,decency [ˈdiː.sən.si]
opovrhovat,despise [dɪˈspaɪz]
torpédoborec,destroyer [dɪˈstrɔɪ.ər]
diecéze,diocese [ˈdaɪ.ə.sɪs]
rozptýlit,disperse [dɪˈspɜːs]
dveří,doorstep [ˈdɔː.step]
pustit se,embark [ɪmˈbɑːk]
obohatit,enrich [ɪnˈrɪtʃ]
okouzlující,glamorous [ˈɡlæm.ər.əs]
pěstitel,grower [ˈɡrəʊ.ər]
psovod,handler [ˈhænd.lər]
nenávist,hater [ˈheɪ.tər]
spoušť,havoc [ˈhæv.ək]
zadní,hind [haɪnd]
hitter,hitter [ˈhɪt.ər]
úl,hive [haɪv]
vlhký,humid [ˈhjuː.mɪd]
osvětlit,illuminate [ɪˈluː.mɪ.neɪt]
implantát,implant [ɪmˈplɑːnt]
obvinit,indict [ɪnˈdaɪt]
nezkušený,inexperienced [ˌɪn.ɪkˈspɪə.ri.ənst]
klokan,kangaroo [ˌkæŋ.ɡərˈuː]
vědomě,knowingly [ˈnəʊ.ɪŋ.li]
legged,legged [-leɡ.ɪd]
liberalismus,liberalism [ˈlɪb.ər.əl.ɪ.zəm]
lokomotiva,locomotive [ˌləʊ.kəˈməʊ.tɪv]
touha,longing [ˈlɒŋ.ɪŋ]
Mesa,mesa [ˈmeɪ.sə]
mikroskop,microscope [ˈmaɪ.krə.skəʊp]
mléčný,milky [ˈmɪl.ki]
mixér,mixer [ˈmɪk.sər]
monumentální,monumental [ˌmɒn.jəˈmen.təl]
mol,moth [mɒθ]
násobit,multiply [ˈmʌl.tɪ.plaɪ]
valoun,nugget [ˈnʌɡ.ɪt]
obtíž,nuisance [ˈnjuː.səns]
poslušnost,obedience [əˈbiː.di.əns]
splatnosti,overdue [ˌəʊ.vəˈdʒuː]
přetížení,overload [ˌəʊ.vəˈləʊd]
splatné,payable [ˈpeɪ.ə.bəl]
malebné,picturesque [ˌpɪk.tʃərˈesk]
pouť,pilgrimage [ˈpɪl.ɡrɪ.mɪdʒ]
Pivot,pivot [ˈpɪv.ət]
Pivotal,pivotal [ˈpɪv.ə.təl]
preventivní,preventive [prɪˈven.tɪv]
Primer,primer [ˈpraɪ.mər]
ziskovost,profitability [ˌprɒf.ɪ.təˈbɪl.ə.ti]
plicní,pulmonary [ˈpʌl.mə.nər.i]
Rad,rad [ræd]
malina,raspberry [ˈrɑːz.bər.i]
smířit,reconcile [ˈrek.ən.saɪl]
regrese,regression [rɪˈɡreʃ.ən]
pružný,resilient [rɪˈzɪl.i.ənt]
sabat,sabbath [ˈsæb.əθ]
zkrátit,shorten [ˈʃɔː.tən]
lopata,shovel [ˈʃʌv.əl]
ohromující,staggering [ˈstæɡ.ər.ɪŋ]
příjmení,surname [ˈsɜː.neɪm]
synonymní,synonymous [sɪˈnɒn.ɪ.məs]
únavné,tedious [ˈtiː.di.əs]
toxin,toxin [ˈtɒk.sɪn]
přetahování,tug [tʌɡ]
využití,utilization [ˌjuː.tɪ.laɪˈzeɪ.ʃən]
mrkat,wink [wɪŋk]
Arbor,arbor [ˈɑːr.bɚ]
astronomický,astronomical [ˌæs.trəˈnɒm.ɪ.kəl]
oděv,attire [əˈtaɪər]
autogram,autograph [ˈɔː.tə.ɡrɑːf]
náprava,axle [ˈæk.səl]
ječmen,barley [ˈbɑː.li]
botanický,botanical [bəˈtæn.ɪ.kəl]
plněná,bottled [ˈbɒt.əld]
chválit se,brag [bræɡ]
Breakout,breakout [ˈbreɪk.aʊt]
chytlavý,catchy [ˈkætʃ.i]
slavnostní,ceremonial [ˌser.ɪˈməʊ.ni.əl]
kontrola,cheque [tʃek]
choreografie,choreography [ˌkɒr.iˈɒɡ.rə.fi]
připomínat,commemorate [kəˈmem.ə.reɪt]
souběžný,concurrent [kənˈkʌr.ənt]
krokodýl,crocodile [ˈkrɒk.ə.daɪl]
jeřáb,derrick [ˈder.ɪk]
plena,diaper [ˈdaɪ.pər]
diferenciace,differentiation [ˌdɪf.ər.en.ʃiˈeɪ.ʃən]
večeřet,dine [daɪn]
odklonit,divert [daɪˈvɜːt]
pochybný,dubious [ˈdʒuː.bi.əs]
dychtivě,eagerly [ˈiː.ɡə.li]
církevní,ecclesiastical [ɪˌkliː.ziˈæs.tɪk.əl]
Elk,elk [elk]
osvítit,enlighten [ɪnˈlaɪ.tən]
vyčerpání,exhaustion [ɪɡˈzɔːs.tʃən]
očekávání,expectancy [ɪkˈspek.tən.si]
skvěle,famously [ˈfeɪ.məs.li]
Otisek prst,fingerprint [ˈfɪŋ.ɡə.prɪnt]
Chlap,flap [flæp]
folklór,folklore [ˈfəʊk.lɔːr]
Galaktik,galactic [ɡəˈlæk.tɪk]
zahradník,gardener [ˈɡɑː.dən.ər]
veselí,glee [ɡliː]
Gravitační,gravitational [ˌɡræv.ɪˈteɪ.ʃən.əl]
pást se,graze [ɡreɪz]
výstřel,gunshot [ˈɡʌn.ʃɒt]
dědičný,hereditary [hɪˈred.ɪ.tər.i]
hiatus,hiatus [haɪˈeɪ.təs]
usedlost,homestead [ˈhəʊm.sted]
strašně,horribly [ˈhɒr.ə.bli]
koňská síla,horsepower [ˈhɔːs.paʊər]
odstín,hue [hjuː]
intelekt,intellect [ˈɪn.təl.ekt]
výměna,interchange [ˌɪn.təˈtʃeɪndʒ]
knoflík,knob [nɒb]
chyba,lapse [læps]
prát,launder [ˈlɔːn.dər]
kniha,ledger [ˈledʒ.ər]
bochník,loaf [ləʊf]
přihlášení,login [ˈlɒɡ.ɪn]
kořist,loot [luːt]
hořčík,magnesium [mæɡˈniː.zi.əm]
napodobit,mimic [ˈmɪm.ɪk]
vědomí,mindful [ˈmaɪnd.fəl]
nástěnná malba,mural [ˈmjʊə.rəl]
pižmo,musk [mʌsk]
nesčetné,myriad [ˈmɪr.i.əd]
Nan,nan [næn]
nosní,nasal [ˈneɪ.zəl]
námořní,nautical [ˈnɔː.tɪ.kəl]
úhledně,neatly [ˈniːt.li]
zápach,odor [ˈoʊ·dər]
převrácení,overturn [ˌəʊ.vəˈtɜːn]
pádlo,paddle [ˈpæd.əl]
papoušek,parrot [ˈpær.ət]
kolík,peg [peɡ]
pesticid,pesticide [ˈpes.tɪ.saɪd]
ponořit se,plunge [plʌndʒ]
bezmocný,powerless [ˈpaʊə.ləs]
pragmatický,pragmatic [præɡˈmæt.ɪk]
kvazi,quasi [ˈkweɪ.zaɪ-]
zářivý,radiant [ˈreɪ.di.ənt]
rafinerie,refinery [rɪˈfaɪ.nər.i]
lítost,remorse [rɪˈmɔːs]
znovu otevřít,reopen [ˌriːˈəʊ.pən]
zrušit,revoke [rɪˈvəʊk]
duševní zdraví,sanity [ˈsæn.ə.ti]
Showdown,showdown [ˈʃəʊ.daʊn]
Shuffle,shuffle [ˈʃʌf.əl]
simulovat,simulate [ˈsɪm.jə.leɪt]
deska,slab [slæb]
plavec,swimmer [ˈswɪm.ər]
Teller,teller [ˈtel.ər]
trans,trance [trɑːns]
bezpodmínečné,unconditional [ˌʌn.kənˈdɪʃ.ən.əl]
nezapomenutelný,unforgettable [ˌʌn.fəˈɡet.ə.bəl]
volatilita,volatility [ˌvɒl.əˈtɪl.ə.ti]
Wen,wen [wen]
obdivuhodný,admirable [ˈæd.mər.ə.bəl]
dobrodružný,adventurous [ədˈven.tʃər.əs]
munice,ammo [ˈæm.əʊ]
antologie,anthology [ænˈθɒl.ə.dʒi]
stejně,anyhow [ˈen.i.haʊ]
opice,ape [eɪp]
Auditor,auditor [ˈɔː.dɪt.ər]
lavina,avalanche [ˈæv.əl.ɑːntʃ]
jezevec,badger [ˈbædʒ.ər]
balistický,ballistic [bəˈlɪs.tɪk]
škádlení,banter [ˈbæn.tər]
uchazeč,bidder [ˈbɪd.ər]
trhák,blockbuster [ˈblɒkˌbʌs.tər]
modrák,blueprint [ˈbluː.prɪnt]
nadhazovač,bowler [ˈbəʊ.lər]
charismatický,charismatic [ˌkær.ɪzˈmæt.ɪk]
chromozóm,chromosome [ˈkrəʊ.mə.səʊm]
zahájení,commencement [kəˈmens.mənt]
zabavit,confiscate [ˈkɒn.fɪ.skeɪt]
protichůdný,contradictory [ˌkɒn.trəˈdɪk.tər.i]
klášter,convent [ˈkɒn.vənt]
konverzovat,converse [ˈkɒn.vɜːs]
koroze,corrosion [kəˈrəʊ.ʒən]
betlém,crib [krɪb]
draho,dearly [ˈdɪə.li]
vzdor,defiance [dɪˈfaɪ.əns]
odradit,deter [dɪˈtɜːr]
strávník,diner [ˈdaɪ.nər]
dispozice,disposition [ˌdɪs.pəˈzɪʃ.ən]
extáze,ecstasy [ˈek.stə.si]
osmnáctý,eighteenth [ˌeɪˈtiːnθ]
jedenáctý,eleventh [ɪˈlev.ənθ]
vyslanec,envoy [ˈen.vɔɪ]
vypršení,expiration [ˌek.spɪˈreɪ.ʃən]
výslovně,expressly [ɪkˈspres.li]
výroba,fabrication [ˌfæb.rɪˈkeɪ.ʃən]
okouzlení,fascination [ˌfæs.ənˈeɪ.ʃən]
jedle,fir [ˈfɜːr]
formulace,formulation [ˌfɔː.mjəˈleɪ.ʃən]
frank,franc [fræŋk]
čelní,frontal [ˈfrʌn.təl]
brankář,goalie [ˈɡəʊ.li]
gradient,gradient [ˈɡreɪ.di.ənt]
omáčka,gravy [ˈɡreɪ.vi]
sleď,herring [ˈher.ɪŋ]
Hopper,hopper [ˈhɒp.ər]
hysterický,hysterical [hɪˈster.ɪ.kəl]
nekompatibilní,incompatible [ˌɪn.kəmˈpæt.ə.bəl]
soudní příkaz,injunction [ɪnˈdʒʌŋk.ʃən]
vrozený,innate [ɪˈneɪt]
Klíčová detekce,keynote [ˈkiː.nəʊt]
lama,lama [ˈlɑː.mə]
student,learner [ˈlɜː.nər]
motivační,motivational [ˌməʊ.tɪˈveɪ.ʃən.əl]
noční,nightly [ˈnaɪt.li]
bez ohledu na to,notwithstanding [ˌnɒt.wɪðˈstæn.dɪŋ]
vysvětit,ordain [ɔːˈdeɪn]
ochrnutí,paralysis [pəˈræl.ə.sɪs]
trpělivě,patiently [ˈpeɪ.ʃənt.li]
tlapka,paw [pɔː]
klavírista,pianist [ˈpiː.ən.ɪst]
lák,pickle [ˈpɪk.əl]
poutník,pilgrim [ˈpɪl.ɡrɪm]
postupně,progressively [prəˈɡres.ɪv.li]
Raptor,raptor [ˈræp.tər]
posílení,reinforcement [ˌriː.ɪnˈfɔːs.mənt]
opakování,repetition [ˌrep.ɪˈtɪʃ.ən]
omezit,restrain [rɪˈstreɪn]
retrospektivní,retrospective [ˌret.rəˈspek.tɪv]
spravedlnost,righteousness [ˈraɪ.tʃəs.nəs]
Opláchnutí,rinse [rɪns]
skalp,scalp [skælp]
Shutter,shutter [ˈʃʌt.ər]
vrabec,sparrow [ˈspær.əʊ]
spekulovat,speculate [ˈspek.jə.leɪt]
špenát,spinach [ˈspɪn.ɪtʃ]
squat,squat [skwɒt]
dusit,stew [stjuː]
Styling,styling [ˈstaɪ.lɪŋ]
sublimovat,sublime [səˈblaɪm]
Podtitul,subtitle [ˈsʌbˌtaɪ.təl]
sladkost,sweetness [ˈswiːt.nəs]
týmová práce,teamwork [ˈtiːm.wɜːk]
pozemní,terrestrial [təˈres.tri.əl]
myslitel,thinker [ˈθɪŋ.kər]
trn,thorn [θɔːn]
nepřirozený,unnatural [ʌnˈnætʃ.ər.əl]
nezastavitelný,unstoppable [ʌnˈstɒp.ə.bəl]
naléhavě,urgently [ˈɜː.dʒənt.li]
panenství,virginity [vəˈdʒɪn.ə.ti]
poukaz,voucher [ˈvaʊ.tʃər]
vzdát se,waive [weɪv]
přístaviště,wharf [wɔːf]
zápasit,wrestle [ˈres.əl]
zhoršit,aggravate [ˈæɡ.rə.veɪt]
alt,alto [ˈæl.təʊ]
anomálie,anomaly [əˈnɒm.ə.li]
otvor,aperture [ˈæp.ə.tʃər]
apoštol,apostle [əˈpɒs.əl]
učení,apprenticeship [əˈpren.tɪs.ʃɪp]
šířka,breadth [bredθ]
Buster,buster [ˈbʌs.tər]
kaskáda,cascade [kæsˈkeɪd]
centralizovat,centralize [ˈsen.trə.laɪz]
char,char [tʃɑːr]
očistit,cleanse [klenz]
svornost,concord [ˈkɒŋ.kɔːd]
konektor,connector [kəˈnek.tər]
konsolidovat,consolidate [kənˈsɒl.ɪ.deɪt]
zadržování,containment [kənˈteɪn.mənt]
toužit,crave [kreɪv]
nebezpečně,dangerously [ˈdeɪn.dʒər.əs.li]
vypovědět,denounce [dɪˈnaʊns]
vír,eddy [ˈed.i]
nepolapitelný,elusive [iˈluː.sɪv]
špionáž,espionage [ˈes.pi.ə.nɑːʒ]
existenciální,existential [ˌeɡ.zɪˈsten.ʃəl]
experimentování,experimentation [ɪkˌsper.ɪ.menˈteɪ.ʃən]
extremista,extremist [ɪkˈstriː.mɪst]
kolísání,fluctuation [ˌflʌk.tʃuˈeɪ.ʃən]
trychtýř,funnel [ˈfʌn.əl]
štěp,graft [ɡrɑːft]
nevrlý,grumpy [ˈɡrʌm.pi]
Goise,guise [ɡaɪz]
zvýšit,heighten [ˈhaɪ.tən]
utišit,hush [hʌʃ]
imitace,imitation [ˌɪm.ɪˈteɪ.ʃən]
ponoření,immersion [ɪˈmɜː.ʃən]
nevyhovující,inconvenient [ˌɪn.kənˈviː.ni.ənt]
vnitřní,intrinsic [ɪnˈtrɪn.zɪk]
neodolatelný,irresistible [ˌɪr.ɪˈzɪs.tə.bəl]
sesuv půdy,landslide [ˈlænd.slaɪd]
řemínek,leash [liːʃ]
memorandum,memorandum [ˌmem.əˈræn.dəm]
mořská panna,mermaid [ˈmɜː.meɪd]
umírněnost,moderation [ˌmɒd.ərˈeɪ.ʃən]
šlechta,nobility [nəʊˈbɪl.ə.ti]
notace,notation [nəʊˈteɪ.ʃən]
utrpení,ordeal [ɔːˈdɪəl]
vůl,ox [ɒks]
bolestně,painfully [ˈpeɪn.fəl.i]
Paranormální,paranormal [ˌpær.əˈnɔː.məl]
hruška,pear [peər]
píst,piston [ˈpɪs.tən]
zdvořile,politely [pəˈlaɪt.li]
pyl,pollen [ˈpɒl.ən]
puberta,puberty [ˈpjuː.bə.ti]
degradovat,relegate [ˈrel.ɪ.ɡeɪt]
s úctou,respectfully [rɪˈspekt.fəl.i]
Přehodnotit,rethink [ˌriːˈθɪŋk]
recenzent,reviewer [rɪˈvjuː.ər]
přepsat,rewrite [ˌriːˈraɪt]
rodeo,rodeo [ˈrəʊ.di.əʊ]
hrabství,shire [ʃaɪər]
štěrbina,slit [slɪt]
vzlykat,sob [sɒb]
punčocha,stocking [ˈstɒk.ɪŋ]
tabu,taboo [təˈbuː]
Teaser,teaser [ˈtiː.zər]
turbulentní,turbulent [ˈtɜː.bjə.lənt]
nesnesitelný,unbearable [ʌnˈbeə.rə.bəl]
nezletilý,underage [ˌʌn.dəˈreɪdʒ]
svobodný,unmarried [ʌnˈmær.ɪd]
vágně,vaguely [ˈveɪɡ.li]
vír,vortex [ˈvɔː.teks]
hůlka,wand [wɒnd]
poutník,wanderer [ˈwɒn.dər.ər]
inzerát,advert [ˈæd.vɜːt]
alias,alias [ˈeɪ.li.əs]
otravovat,annoy [əˈnɔɪ]
tleskat,applaud [əˈplɔːd]
křtít,baptize [bæpˈtaɪz]
otroctví,bondage [ˈbɒn.dɪdʒ]
nuda,boredom [ˈbɔː.dəm]
skvěle,brilliantly [ˈbrɪl.jənt.li]
