hřeben,comb [koʊm]
Odtok,runoff [ˈrʌn.ɑːf]
polovodič,semiconductor [ˌsem.i.kənˈdʌk.tɚ]
simultánní,simultaneous [ˌsaɪ.məlˈteɪ.ni.əs]
úryvek,snatch [snætʃ]
teniska,sneaker [ˈsniː.kɚ]
strašidelný,spooky [ˈspuː.ki]
Stealth,stealth [stelθ]
napjatý,strained [streɪnd]
podmnožina,subset [ˈsʌb.set]
napětí,suspense [səˈspens]
syntax,syntax [ˈsɪn.tæks]
tad,tad [tæd]
tandem,tandem [ˈtæn.dəm]
Televise,televise [ˈtel.ə.vaɪz]
terciární,tertiary [ˈtɝː.ʃi.er.i]
štítná žláza,thyroid [ˈθaɪ.rɔɪd]
uklidit,tidy [ˈtaɪ.di]
nadčasový,timeless [ˈtaɪm.ləs]
nespolehlivý,unreliable [ˌʌn.rɪˈlaɪə.bəl]
pozitivní,upbeat [ˈʌp.biːt]
použitelný,usable [ˈjuː.zə.bəl]
předvoj,vanguard [ˈvæn.ɡɑːrd]
zvracení,vomit [ˈvɑː.mɪt]
vulgární,vulgar [ˈvʌl.ɡɚ]
vzdání se,waiver [ˈweɪ.vɚ]
kabeláž,wiring [ˈwaɪr.ɪŋ]
adrenalin,adrenaline [əˈdren·əl·ən]
zmírnit,alleviate [əˈliː.vi.eɪt]
anarchie,anarchy [ˈæn.ɚ.ki]
na břehu,ashore [əˈʃɔːr]
aura,aura [ˈɔːr.ə]
taneční sál,ballroom [ˈbɑːl.ruːm]
začátečník,beginner [bɪˈɡɪn.ɚ]
bilingvní,bilingual [baɪˈlɪŋ.ɡwəl]
baldachýn,canopy [ˈkæn.ə.pi]
milovat,cherish [ˈtʃer.ɪʃ]
smích,chuckle [ˈtʃʌk.əl]
civilizovaný,civilized [ˈsɪv.əl.aɪzd]
odsouzení,condemnation [ˌkɑːn.dəmˈneɪ.ʃən]
křižník,cruiser [ˈkruː.zɚ]
kučera,curl [kɝːl]
strhnout,demolish [dɪˈmɑː.lɪʃ]
džínovina,denim [ˈden.ɪm]
závislost,dependency [dɪˈpen.dən.si]
rosa,dew [duː]
odpojené,disconnected [ˌdɪs.kəˈnek.tɪd]
nečestný,dishonest [dɪˈsɑː.nɪst]
dávkování,dosage [ˈdoʊ.sɪdʒ]
pochybný,doubtful [ˈdaʊt.fəl]
nadace,endowment [ɪnˈdaʊ.mənt]
vyrýt,engrave [ɪnˈɡreɪv]
obohacení,enrichment [ɪnˈrɪtʃ.mənt]
erekce,erection [ɪˈrek.ʃən]
výbuch,eruption [ɪˈrʌp.ʃən]
zkoušející,examiner [-nɚ]
fam,fam [fæm]
věrnost,fidelity [fɪˈdel.ə.t̬i]
jemně,finely [ˈfaɪn.li]
plynulý,fluent [ˈfluː.ənt]
flétna,flute [fluːt]
stopa,footprint [ˈfʊt.prɪnt]
přední,fore [fɔːr]
popředí,forefront [ˈfɔːr.frʌnt]
formulovat,formulate [ˈfɔːr.mjə.leɪt]
ztvrdnout,harden [ˈhɑːr.dən]
nenávistný,hateful [ˈheɪt.fəl]
hepatitida,hepatitis [ˌhep.əˈtaɪ.t̬əs]
obývat,inhabit [ɪnˈhæb.ɪt]
zahájení,initiation [ɪˌnɪʃ.iˈeɪ.ʃən]
intenzivně,intensely [ɪnˈtens.li]
ohrožení,jeopardy [ˈdʒep.ɚ.di]
mandarinka,mandarin [ˈmæn.dɚ.ɪn]
stožár,mast [mæst]
Matte,matte [mæt]
průměrný,mediocre [ˌmiː.diˈoʊ.kɚ]
nikotin,nicotine [ˈnɪk.ə.t̬iːn]
vnější,outward [ˈaʊt.wɚd]
přecenit,overrate [ˌoʊ.vɚˈreɪt]
říz,pep [pep]
pirátství,piracy [ˈpaɪr.ə.si]
četa,platoon [pləˈtuːn]
blouznit,rave [reɪv]
znovu vytvořit,recreate [ˌriː.kriˈeɪt]
reziduální,residual [rɪˈzɪdʒ.ju.əl]
župan,robe [roʊb]
žito,rye [raɪ]
senzační,sensational [senˈseɪ.ʃən.əl]
kuřák,smoker [ˈsmoʊ.kɚ]
záludný,sneaky [ˈsniː.ki]
zásuvka,socket [ˈsɑː.kɪt]
hladovění,starvation [stɑːrˈveɪ.ʃən]
stolice,stool [stuːl]
zasažený,stricken [ˈstrɪk.ən]
systematicky,systematically [ˌsɪs.təˈmæt̬.ɪ.kəl.i]
Tibet,tibet [tɪˈbet]
šlapat,tread [tred]
zmatek,turmoil [ˈtɝː.mɔɪl]
tyranie,tyranny [ˈtɪr.ən.i]
pneumatika,tyre [taɪr]
nevhodné,unfit [ʌnˈfɪt]
udržovat,uphold [ʌpˈhoʊld]
jez,weir [wɪr]
Wonderland,wonderland [ˈwʌn.dɚ.lænd]
zápasník,wrestler [ˈres.lɚ]
Zoning,zoning [ˈzoʊ.nɪŋ]
zrušení,abolition [ˌæb.əˈlɪʃ.ən]
přístupnost,accessibility [əkˌses.əˈbɪl.ə.t̬i]
seznámit,acquaint [əˈkweɪnt]
nahlas,aloud [əˈlaʊd]
úhlové,angular [ˈæŋ.ɡjə.lɚ]
přední,anterior [ænˈtɪr.i.ɚ]
dodatek,appendix [əˈpen.dɪ.siːz]
hlediště,auditorium [ˌɑː.dəˈtɔːr.i.əm]
benigní,benign [bɪˈnaɪn]
bělidlo,bleach [bliːtʃ]
brandy,brandy [ˈbræn.di]
pokraj,brink [brɪŋk]
drzý,cheeky [ˈtʃiː.ki]
chemik,chemist [ˈkem.ɪst]
kobra,cobra [ˈkoʊ.brə]
spolupracovat,collaborate [kəˈlæb.ə.reɪt]
poměrně,comparatively [kəmˈper.ə.t̬ɪv.li]
kosmos,cosmos [ˈkɑːz.moʊs]
manžeta,cuff [kʌf]
cyklón,cyclone [ˈsaɪ.kloʊn]
věnovat,dedicate [ˈded.ə.keɪt]
depozice,deposition [ˌdep.əˈzɪʃ.ən]
Dirigence,diligence [ˈdɪl.ə.dʒəns]
diskriminovat,discriminate [dɪˈskrɪm.ə.neɪt]
odklon,diversion [dɪˈvɜr·ʒən]
vchod,doorway [ˈdɔːr.weɪ]
výňatek,excerpt [ˈek.sɝːpt]
existující,existent [ɪɡˈzɪs.tənt]
vymyslet,fabricate [ˈfæb.rɪ.keɪt]
nepřítel,foe [foʊ]
útěk,getaway [ˈɡet̬.ə.weɪ]
půvab,glamour [ˈɡlæm.ɚ]
mimochodem,incidentally [ˌɪn.sɪˈden.t̬əl.i]
nekonečně,infinitely [ˈɪn.fə.nət.li]
nahustit,inflate [ɪnˈfleɪt]
chřipka,influenza [ˌɪn.fluˈen.zə]
instruktážní,instructional [ɪnˈstrʌk.ʃən.əl]
tazatel,interviewer [ˈɪn.t̬ɚ.vjuː.ɚ]
podkroví,loft [lɑːft]
masivně,massively [ˈmæs.ɪv.li]
zprostředkující,mediate [ˈmiː.di.eɪt]
zprostředkování,mediation [ˌmiː.diˈeɪ.ʃən]
modulární,modular [ˈmɑː.dʒə.lɚ]
psanec,outlaw [ˈaʊt.lɑː]
dohlížet,oversee [ˌoʊ.vɚˈsiː]
Pageant,pageant [ˈpædʒ.ənt]
padák,parachute [ˈper.ə.ʃuːt]
parazit,parasite [ˈper.ə.saɪt]
rodičovství,parenthood [ˈper.ənt.hʊd]
trvalka,perennial [pəˈren.i.əl]
perzistence,persistence [pɚˈsɪs.təns]
Porto,porto [/kəˈlæb.ə.reɪt/]
poštovné,postage [ˈpoʊ.stɪdʒ]
předškolní,preschool [ˈpriː.skuːl]
procesní,procedural [prəˈsiː.dʒɚ.əl]
hluboce,profoundly [prəˈfaʊnd.li]
výslovnost,pronunciation [prəˌnʌn.siˈeɪ.ʃən]
provokovat,provoke [prəˈvoʊk]
citát,quotation [kwoʊˈteɪ.ʃən]
neúnavný,relentless [rɪˈlent.ləs]
zbytek,remnant [ˈrem.nənt]
represe,repression [rɪˈpreʃ.ən]
dotisk,reprint [ˌriːˈprɪnt]
směšně,ridiculously [rɪˈdɪk.jə.ləs.li]
specializujte se,specialize [ˈspeʃ.ə.laɪz]
spekulativní,speculative [ˈspek.jə.lə.t̬ɪv]
ponoření,submerge [səbˈmɝːdʒ]
symetrie,symmetry [ˈsɪm.ə.tri]
syndikát,syndicate [ˈsɪn.də.kət]
Utáhněte,tighten [ˈtaɪ.tən]
důvěryhodný,trustworthy [ˈtrʌstˌwɝː.ði]
dvanáctý,twelfth [twelfθ]
Usher,usher [ˈʌʃ.ɚ]
cévní,vascular [ˈvæs.kjə.lɚ]
zdravý,wholesome [ˈhoʊl.səm]
absorbující,absorbing [əbˈzɔːr.bɪŋ]
sousedí,adjoin [əˈdʒɔɪn]
původ,ancestry [ˈæn.ses.tri]
anektovat,annex [ænˈeks]
rozšířit,augment [ɑːɡˈment]
zanícený,avid [ˈæv.ɪd]
bárka,barge [bɑːrdʒ]
barman,bartender [ˈbɑːrˌten.dɚ]
bříza,birch [bɜrtʃ]
Bland,bland [blænd]
svatební,bridal [ˈbraɪ.dəl]
brokolice,broccoli [ˈbrɑː.kəl.i]
kartáčování,brushing [brʌʃ]
přezka,buckle [ˈbʌk.əl]
kánoe,canoe [kəˈnuː]
chladný,chilly [ˈtʃɪl.i]
jablečný mošt,cider [ˈsaɪ.dɚ]
vědomě,consciously [ˈkɑːn.ʃəs.li]
korelát,correlate [ˈkɔːr.ə.leɪt]
kolébka,cradle [ˈkreɪ.dəl]
mrzák,cripple [ˈkrɪp·əl]
slušnost,decency [ˈdiː.sən.si]
opovrhovat,despise [dɪˈspaɪz]
torpédoborec,destroyer [dɪˈstrɔɪ.ɚ]
diecéze,diocese [ˈdaɪ.ə.sɪs]
rozptýlit,disperse [dɪˈspɝːs]
dveří,doorstep [ˈdɔːr.step]
pustit se,embark [ɪmˈbɑːrk]
obohatit,enrich [ɪnˈrɪtʃ]
okouzlující,glamorous [ˈɡlæm.ə.əs]
pěstitel,grower [ˈɡroʊ.ɚ]
psovod,handler [ˈhænd.lɚ]
nenávist,hater [ˈheɪ.t̬ɚ]
spoušť,havoc [ˈhæv.ək]
zadní,hind [haɪnd]
hitter,hitter [ˈhɪt̬.ɚ]
úl,hive [haɪv]
vlhký,humid [ˈhjuː.mɪd]
osvětlit,illuminate [ɪˈluː.mə.neɪt]
implantát,implant [ɪmˈplænt]
obvinit,indict [ɪnˈdaɪt]
nezkušený,inexperienced [ˌɪn.ɪkˈspɪr.i.ənst]
klokan,kangaroo [ˌkæŋ.ɡəˈruː]
vědomě,knowingly [ˈnoʊ.ɪŋ.li]
legged,legged [-leɡ.ɪd]
liberalismus,liberalism [ˈlɪb.ər.əl.ɪ.zəm]
lokomotiva,locomotive [ˌloʊ.kəˈmoʊ.t̬ɪv]
touha,longing [ˈlɑːŋ.ɪŋ]
Mesa,mesa [ˈmeɪ.sə]
mikroskop,microscope [ˈmaɪ.krə.skoʊp]
mléčný,milky [ˈmɪl.ki]
mixér,mixer [ˈmɪk.sɚ]
monumentální,monumental [ˌmɑːn.jəˈmen.t̬əl]
mol,moth [mɑːθ]
násobit,multiply [ˈmʌl.tə.plaɪ]
valoun,nugget [ˈnʌɡ.ɪt]
obtíž,nuisance [ˈnuː.səns]
poslušnost,obedience [oʊˈbiː.di.əns]
splatnosti,overdue [ˌoʊ.vɚˈduː]
přetížení,overload [ˌoʊ.vɚˈloʊd]
splatné,payable [ˈpeɪ.ə.bəl]
malebné,picturesque [ˌpɪk.tʃərˈesk]
pouť,pilgrimage [ˈpɪl.ɡrə.mɪdʒ]
Pivot,pivot [ˈpɪv.ət]
Pivotal,pivotal [ˈpɪv.ə.t̬əl]
preventivní,preventive [prɪˈven.t̬ɪv]
Primer,primer [ˈpraɪ.mɚ]
ziskovost,profitability [ˌprɑː.fɪ.t̬əˈbɪl.ə.t̬i]
plicní,pulmonary [ˈpʊl.mə.ner.i]
Rad,rad [ræd]
malina,raspberry [ˈræz.ber.i]
smířit,reconcile [ˈrek.ən.saɪl]
regrese,regression [rɪˈɡreʃ.ən]
pružný,resilient [rɪˈzɪl.jənt]
sabat,sabbath [ˈsæb.əθ]
zkrátit,shorten [ˈʃɔːr.tən]
lopata,shovel [ˈʃʌv.əl]
ohromující,staggering [ˈstæɡ.ɚ.ɪŋ]
příjmení,surname [ˈsɝː.neɪm]
synonymní,synonymous [sɪˈnɑː.nə.məs]
únavné,tedious [ˈtiː.di.əs]
toxin,toxin [ˈtɑːk.sɪn]
přetahování,tug [tʌɡ]
využití,utilization [ˌjuː.t̬əl.əˈzeɪ.ʃən]
mrkat,wink [wɪŋk]
Arbor,arbor [ˈɑːr.bɚ]
astronomický,astronomical [ˌæs.trəˈnɑː.mɪ.kəl]
oděv,attire [əˈtaɪr]
autogram,autograph [ˈɑː.t̬ə.ɡræf]
náprava,axle [ˈæk.səl]
ječmen,barley [ˈbɑːr.li]
botanický,botanical [bəˈtæn.ɪ.kəl]
plněná,bottled [ˈbɑː.t̬əld]
chválit se,brag [bræɡ]
Breakout,breakout [ˈbreɪk.aʊt]
chytlavý,catchy [ˈkætʃ.i]
slavnostní,ceremonial [ˌser.əˈmoʊ.ni.əl]
kontrola,cheque [tʃek]
choreografie,choreography [ˌkɔːr.iˈɑː.ɡrə.fi]
připomínat,commemorate [kəˈmem.ə.reɪt]
souběžný,concurrent [kənˈkɝː.ənt]
krokodýl,crocodile [krɑːk]
jeřáb,derrick [ˈder.ɪk]
plena,diaper [ˈdaɪ.pɚ]
diferenciace,differentiation [ˌdɪf.ə.ren.ʃiˈeɪ.ʃən]
večeřet,dine [daɪn]
odklonit,divert [dɪˈvɝːt]
pochybný,dubious [ˈduː.bi.əs]
dychtivě,eagerly [ˈiː.ɡɚ.li]
církevní,ecclesiastical [ɪˌkliː.ziˈæs.tɪk.əl]
Elk,elk [elk]
osvítit,enlighten [ɪnˈlaɪ.tən]
vyčerpání,exhaustion [ɪɡˈzɑː.tʃən]
očekávání,expectancy [ɪkˈspek.tən.si]
skvěle,famously [ˈfeɪ.məs.li]
Otisek prst,fingerprint [ˈfɪŋ.ɡɚ.prɪnt]
Chlap,flap [flæp]
folklór,folklore [ˈfoʊk.lɔːr]
Galaktik,galactic [ɡəˈlæk.tɪk]
zahradník,gardener [ˈɡɑːr.dən.ɚ]
veselí,glee [ɡliː]
Gravitační,gravitational [ˌɡræv.əˈteɪ.ʃən.əl]
pást se,graze [ɡreɪz]
výstřel,gunshot [ˈɡʌn.ʃɑːt]
dědičný,hereditary [həˈred.ə.ter.i]
hiatus,hiatus [haɪˈeɪ.t̬əs]
usedlost,homestead [ˈhoʊm.sted]
strašně,horribly [ˈhɔːr.ə.bli]
koňská síla,horsepower [ˈhɔːrs.paʊ.ɚ]
odstín,hue [hjuː]
intelekt,intellect [ˈɪn.t̬ə.ekt]
výměna,interchange [ˌɪn.t̬ɚˈtʃeɪndʒ]
knoflík,knob [nɑːb]
chyba,lapse [læps]
prát,launder [ˈlɑːn.dɚ]
kniha,ledger [ˈledʒ.ɚ]
bochník,loaf [loʊf]
přihlášení,login [ˈlɑːɡ.ɪn]
kořist,loot [luːt]
hořčík,magnesium [mæɡˈniː.zi.əm]
napodobit,mimic [ˈmɪm.ɪk]
vědomí,mindful [ˈmaɪnd.fəl]
nástěnná malba,mural [ˈmjʊr.əl]
pižmo,musk [mʌsk]
nesčetné,myriad [ˈmɪr.i.əd]
Nan,nan [næn]
nosní,nasal [ˈneɪ.zəl]
námořní,nautical [ˈnɑː.t̬i.kəl]
úhledně,neatly [ˈniːt.li]
zápach,odor [ˈoʊ·dər]
převrácení,overturn [ˌoʊ.vɚˈtɝːn]
pádlo,paddle [ˈpæd.əl]
papoušek,parrot [ˈper.ət]
kolík,peg [peɡ]
pesticid,pesticide [ˈpes.tə.saɪd]
ponořit se,plunge [plʌndʒ]
bezmocný,powerless [ˈpaʊ.ɚ.ləs]
pragmatický,pragmatic [præɡˈmæt̬.ɪk]
kvazi,quasi [ˈkwɑː.zaɪ-]
zářivý,radiant [ˈreɪ.di.ənt]
rafinerie,refinery [rɪˈfaɪ.nɚ.i]
lítost,remorse [rɪˈmɔːrs]
znovu otevřít,reopen [ˌriːˈoʊ.pən]
zrušit,revoke [rɪˈvoʊk]
duševní zdraví,sanity [ˈsæn.ə.t̬i]
Showdown,showdown [ˈʃoʊ.daʊn]
Shuffle,shuffle [ˈʃʌf.əl]
simulovat,simulate [ˈsɪm.jə.leɪt]
deska,slab [slæb]
plavec,swimmer [ˈswɪm.ɚ]
Teller,teller [ˈtel.ɚ]
trans,trance [træns]
bezpodmínečné,unconditional [ˌʌn.kənˈdɪʃ.ən.əl]
nezapomenutelný,unforgettable [ˌʌn.fɚˈɡet̬.ə.bəl]
volatilita,volatility [ˌvɑː.ləˈtɪl.ə.t̬i]
Wen,wen [wen]
obdivuhodný,admirable [ˈæd.mə.rə.bəl]
dobrodružný,adventurous [ədˈven.tʃɚ.əs]
munice,ammo [ˈæm.oʊ]
antologie,anthology [ænˈθɑː.lə.dʒi]
stejně,anyhow [ˈen.i.haʊ]
opice,ape [eɪp]
Auditor,auditor [ˈɑː.də.t̬ɚ]
lavina,avalanche [ˈæv.əl.æntʃ]
jezevec,badger [ˈbædʒ.ɚ]
balistický,ballistic [bəˈlɪs.tɪk]
škádlení,banter [ˈbæn.tɚ]
uchazeč,bidder [ˈbɪd.ɚ]
trhák,blockbuster [ˈblɑːkˌbʌs.tɚ]
modrák,blueprint [ˈbluː.prɪnt]
nadhazovač,bowler [ˈboʊ.lɚ]
charismatický,charismatic [ˌker.ɪzˈmæt̬.ɪk]
chromozóm,chromosome [ˌkroʊ.məˈsoʊ.məl]
zahájení,commencement [kəˈmens.mənt]
zabavit,confiscate [ˈkɑːn.fə.skeɪt]
protichůdný,contradictory [ˌkɑːn.trəˈdɪk.tɚ.i]
klášter,convent [ˈkɑːn.vənt]
konverzovat,converse [ˈkɑːn.vɝːs]
koroze,corrosion [kəˈroʊ.ʒən]
betlém,crib [krɪb]
draho,dearly [ˈdɪr.li]
vzdor,defiance [dɪˈfaɪ.əns]
odradit,deter [dɪˈtɝː]
strávník,diner [ˈdaɪ.nɚ]
dispozice,disposition [ˌdɪs.pəˈzɪʃ.ən]
extáze,ecstasy [ˈek.stə.si]
osmnáctý,eighteenth [ˌeɪˈtiːnθ]
jedenáctý,eleventh [əˈlev.ənθ]
vyslanec,envoy [ˈen.vɔɪ]
vypršení,expiration [ɪkˈspaɪr.i]
výslovně,expressly [ɪkˈspres.li]
výroba,fabrication [ˌfæb.rəˈkeɪ.ʃən]
okouzlení,fascination [ˌfæs.ənˈeɪ.ʃən]
jedle,fir [ˈfɝː]
formulace,formulation [ˌfɔːr.mjəˈleɪ.ʃən]
frank,franc [fræŋk]
čelní,frontal [ˈfrʌn.t̬əl]
brankář,goalie [ˈɡoʊ.li]
gradient,gradient [ˈɡreɪ.di.ənt]
omáčka,gravy [ˈɡreɪ.vi]
sleď,herring [ˈher.ɪŋ]
Hopper,hopper [ˈhɑː.pɚ]
hysterický,hysterical [hɪˈster.ɪ.kəl]
nekompatibilní,incompatible [ˌɪn.kəmˈpæt̬.ə.bəl]
soudní příkaz,injunction [ɪnˈdʒʌŋk.ʃən]
vrozený,innate [ɪˈneɪt]
Klíčová detekce,keynote [ˈkiː.noʊt]
lama,lama [ˈlɑː.mə]
student,learner [ˈlɝː.nɚ]
motivační,motivational [ˌmoʊ.t̬əˈveɪ.ʃən.əl]
noční,nightly [ˈnaɪt.li]
bez ohledu na to,notwithstanding [ˌnɑːt.wɪðˈstæn.dɪŋ]
vysvětit,ordain [ɔːrˈdeɪn]
ochrnutí,paralysis [pəˈræl.ə.sɪs]
trpělivě,patiently [ˈpeɪ.ʃənt.li]
tlapka,paw [pɑː]
klavírista,pianist [ˈpiː.ən.ɪst]
lák,pickle [ˈpɪk.əl]
poutník,pilgrim [ˈpɪl.ɡrɪm]
postupně,progressively [prəˈɡres.ɪv.li]
Raptor,raptor [ˈræp.tɚ]
posílení,reinforcement [ˌriː.ɪnˈfɔːrs.mənt]
opakování,repetition [ˌrep.əˈtɪʃ.ən]
omezit,restrain [rɪˈstreɪn]
retrospektivní,retrospective [ˌret.rəˈspek.tɪv]
spravedlnost,righteousness [ˈraɪ.tʃəs.nəs]
Opláchnutí,rinse [rɪns]
skalp,scalp [skælp]
Shutter,shutter [ˈʃʌt̬.ɚ]
vrabec,sparrow [ˈsper.oʊ]
spekulovat,speculate [ˈspek.jə.leɪt]
špenát,spinach [ˈspɪn.ɪtʃ]
squat,squat [skwɑːt]
dusit,stew [stuː]
Styling,styling [ˈstaɪ.lɪŋ]
sublimovat,sublime [səˈblaɪm]
Podtitul,subtitle [ˈsʌbˌtaɪ.t̬əl]
sladkost,sweetness [ˈswiːt.nəs]
týmová práce,teamwork [ˈtiːm.wɝːk]
pozemní,terrestrial [təˈres.tri.əl]
myslitel,thinker [ˈθɪŋ.kɚ]
trn,thorn [θɔːrn]
nepřirozený,unnatural [ʌnˈnætʃ.ɚ.əl]
nezastavitelný,unstoppable [ʌnˈstɑː.pə.bəl]
naléhavě,urgently [ˈɝː.dʒənt.li]
panenství,virginity [vɚˈdʒɪn.ə.t̬i]
poukaz,voucher [ˈvaʊ.tʃɚ]
vzdát se,waive [weɪv]
přístaviště,wharf [wɔːrf]
zápasit,wrestle [ˈres.əl]
zhoršit,aggravate [ˈæɡ.rə.veɪt]
alt,alto [ˈæl.toʊ]
anomálie,anomaly [əˈnɑː.mə.li]
otvor,aperture [ˈæp.ɚ.tʃɚ]
apoštol,apostle [əˈpɑː.səl]
učení,apprenticeship [əˈpren.t̬ɪs.ʃɪp]
šířka,breadth [bredθ]
Buster,buster [ˈbʌs.tɚ]
kaskáda,cascade [kæsˈkeɪd]
centralizovat,centralize [ˈsen.trə.laɪz]
char,char [tʃɑːr]
očistit,cleanse [klenz]
svornost,concord [ˈkɑːŋ.kɔːrd]
konektor,connector [kəˈnek.tɚ]
konsolidovat,consolidate [kənˈsɑː.lə.deɪt]
zadržování,containment [kənˈteɪn.mənt]
toužit,crave [kreɪv]
nebezpečně,dangerously [ˈdeɪn.dʒɚ.əs.li]
vypovědět,denounce [dɪˈnaʊns]
vír,eddy [ˈed.i]
nepolapitelný,elusive [iˈluː.sɪv]
špionáž,espionage [ˈes.pi.ə.nɑːʒ]
existenciální,existential [ˌeɡ.zɪˈsten.ʃəl]
experimentování,experimentation [ɪkˌsper.ə.menˈteɪ.ʃən]
extremista,extremist [ɪkˈstriː.mɪst]
kolísání,fluctuation [ˌflʌk.tʃuˈeɪ.ʃən]
trychtýř,funnel [ˈfʌn.əl]
štěp,graft [ɡræft]
nevrlý,grumpy [ˈɡrʌm.pi]
Goise,guise [ɡaɪz]
zvýšit,heighten [ˈhaɪ.t̬ən]
utišit,hush [hʌʃ]
imitace,imitation [ˌɪm.əˈteɪ.ʃən]
ponoření,immersion [ɪˈmɝː.ʒən]
nevyhovující,inconvenient [ˌɪn.kənˈviːn.jənt]
vnitřní,intrinsic [ɪnˈtrɪn.zɪk]
neodolatelný,irresistible [ˌɪr.əˈzɪs.tə.bəl]
sesuv půdy,landslide [ˈlænd.slaɪd]
řemínek,leash [liːʃ]
memorandum,memorandum [ˌmem.əˈræn.dəm]
mořská panna,mermaid [ˈmɝː.meɪd]
umírněnost,moderation [ˌmɑː.dəˈreɪ.ʃən]
šlechta,nobility [noʊˈbɪl.ə.t̬i]
notace,notation [noʊˈteɪ.ʃən]
utrpení,ordeal [ɔːrˈdɪəl]
vůl,ox [ɑːks]
bolestně,painfully [ˈpeɪn.fəl.i]
Paranormální,paranormal [ˌper.əˈnɔːr.məl]
hruška,pear [per]
píst,piston [ˈpɪs.tən]
zdvořile,politely [pəˈlaɪt.li]
pyl,pollen [ˈpɑː.lə.neɪt]
puberta,puberty [ˈpjuː.bɚ.t̬i]
degradovat,relegate [ˈrel.ə.ɡeɪt]
s úctou,respectfully [rɪˈspekt.fəl.i]
Přehodnotit,rethink [ˌriːˈθɪŋk]
recenzent,reviewer [rɪˈvjuː.ɚ]
přepsat,rewrite [ˌriːˈraɪt]
rodeo,rodeo [ˈroʊ.di.oʊ]
hrabství,shire [ʃaɪr]
štěrbina,slit [slɪt]
vzlykat,sob [sɑːb]
punčocha,stocking [ˈstɑː.kɪŋ]
tabu,taboo [təˈbuː]
Teaser,teaser [ˈtiː.zɚ]
turbulentní,turbulent [ˈtɝː.bjə.lənt]
nesnesitelný,unbearable [ʌnˈber.ə.bəl]
nezletilý,underage [ˌʌn.dɚˈeɪdʒ]
svobodný,unmarried [ʌnˈmer.ɪd]
vágně,vaguely [ˈveɪɡ.li]
vír,vortex [ˈvɔːr.teks]
hůlka,wand [wɑːnd]
