stoupání,rise [raɪz]
ani,nor [nɔːr]
pokrok,progress [ˈprɑː.ɡres]
(za)střelit,shoot [ʃuːt]
zavřený,shut [ʃʌt]
dřevo,wood [wʊd]
pozadí,background [ˈbæk.ɡraʊnd]
narození,birth [bɝːθ]
most,bridge [brɪdʒ]
koncepce,concept [ˈkɑːn.sept]
kopie,copy [ˈkɑː.pi]
drahý (přítel ap.),dear [dɪr]
zahrada,garden [ˈɡɑːr.dən]
hostitel,host [hoʊst]
bydlení,housing [ˈhaʊ.zɪŋ]
časopis (odborný),journal [ˈdʒɝː.nəl]
práce,labor [ˈleɪ.bɚ]
vedení,leadership [ˈliː.dɚ.ʃɪp]
délka,length [leŋθ]
mající štěstí,lucky [ˈlʌk.i]
ani,neither [ˈnaɪ.ðɚ]
na,onto [ˈɑːn.tu]
možná,possibly [ˈpɑː.sə.bli]
dokázat,prove [pruːv]
vzácný,rare [rer]
dovednost,skill [skɪl]
tisíc,thousand [ˈθaʊ.zənd]
tvrdý,tough [tʌf]
inzerát,ad [æd]
naživu,alive [əˈlaɪv]
jablko,apple [ˈæp.əl]
rovnováha,balance [ˈbæl.əns]
narozeniny,birthday [ˈbɝːθ.deɪ]
fena,bitch [bɪtʃ]
šéf,boss [bɑːs]
spojení,connection [kəˈnek.ʃən]
šaty (dámské),dress [dres]
kůň,horse [hɔːrs]
kouzlo,magic [ˈmædʒ.ɪk]
řídit (firmu ap.),manage [ˈmæn.ədʒ]
mapa,map [mæp]
síť,net [net]
žádost,request [rɪˈkwest]
klacek,stick [stɪk]
vozidlo,vehicle [ˈviː.ə.kəl]
objem,volume [ˈvɑːl.juːm]
probudit,wake [weɪk]
"pomoc (hmotná, peněžní)",aid [eɪd]
krása,beauty [ˈbjuː.t̬i]
miliarda,billion [ˈbɪl.jən]
konverzace,conversation [ˌkɑːn.vɚˈseɪ.ʃən]
roh,corner [ˈkɔːr.nɚ]
zločinec,criminal [ˈkrɪm.ə.nəl]
kulturní,cultural [ˈkʌl.tʃɚ.əl]
řidič,driver [ˈdraɪ.vɚ]
existovat,exist [ɪɡˈzɪst]
farma,farm [fɑːrm]
soubor,file [faɪl]
spravit,fix [fɪks]
létat,fly [flaɪ]
upřímný,frank [fræŋk]
průvodce,guide [ɡaɪd]
vyšetřování,investigation [ɪnˌves.təˈɡeɪ.ʃən]
provozní,operating [ˈɑː.pər.eɪ.t̬ɪŋ]
odpovědnost,responsibility [rɪˌspɑːn.səˈbɪl.ə.t̬i]
válcovat,roll [roʊl]
trochu,slightly [ˈslaɪt.li]
navrhnout,suggest [səˈdʒest]
překvapení,surprise [sɚˈpraɪz]
technický,technical [ˈtek.nɪ.kəl]
zacházet,treat [triːt]
jedinečný,unique [juːˈniːk]
rozmanitost,variety [vəˈraɪ.ə.t̬i]
násilí,violence [ˈvaɪ.ə.ləns]
zbraň,weapon [ˈwep.ən]
mládí,youth [juːθ]
vážit si,appreciate [əˈpriː.ʃi.eɪt]
rozbití,breaking [ˈbreɪ.kɪŋ]
objevit,discover [dɪˈskʌv.ɚ]
suchý,dry [draɪ]
(o)kraj,edge [edʒ]
zlo,evil [ˈiː.vəl]
vzrušit (emočně),excite [ɪkˈsaɪt]
navěky,forever [fɔːˈrev.ɚ]
zranění,injury [ˈɪn.dʒər.i]
železo,iron [aɪrn]
milý,lovely [ˈlʌv.li]
šílený,mad [mæd]
časopis,magazine [ˌmæɡ.əˈziːn]
parlament,parliament [ˈpɑːr.lə.mənt]
připravit,prepare [prɪˈper]
odkaz,reference [ˈref.ɚ.əns]
náboženství,religion [rɪˈlɪdʒ.ən]
někde,somewhere [ˈsʌm.wer]
strategie,strategy [ˈstræt̬.ə.dʒi]
pavučina,web [web]
víno,wine [waɪn]
publikum,audience [ˈɑː.di.əns]
záliv,bay [beɪ]
jádro,core [kɔːr]
vynikající,excellent [ˈek.səl.ənt]
střežit,guard [ɡɑːrd]
čestný,honest [ˈɑː.nɪst]
závětří,lee [liː]
lék,medicine [ˈmed.ɪ.sən]
hora,mountain [ˈmaʊn.tən]
nukleární,nuclear [ˈnuː.kliː.ɚ]
přístav,port [pɔːrt]
přítomnost,presence [ˈprez.əns]
reakce,reaction [riˈæk.ʃən]
zmenšit,reduce [rɪˈduːs]
tuhý,solid [ˈsɑː.lɪd]
zdůraznit,stress [stres]
chuť,taste [teɪst]
čaj,tea [tiː]
vítězství,victory [ˈvɪk.tɚ.i]
odpoledne,afternoon [ˌæf.tɚˈnuːn]
asistent,assistant [əˈsɪs.tənt]
občan(ka),citizen [ˈsɪt̬.ə.zən]
klasický,classic [ˈklæs.ɪk]
obléci,clothe [kloʊð]
elektrický,electric [ɪˈlek.trɪk]
stav nouze,emergency [ɪˈmɝː.dʒən.si]
úplně,entirely [ɪnˈtaɪr.li]
neúspěch,failure [ˈfeɪ.ljɚ]
festival,festival [ˈfes.tə.vəl]
byt,flat [flæt]
palivo,fuel [ˈfjuː.əl]
ahoj,hello [heˈloʊ]
nemocný,ill [ɪl]
počáteční,initial [ɪˈnɪʃ.əl]
představit,introduce [ˌɪn.trəˈduːs]
kop(nutí),kick [kɪk]
pošta,mail [meɪl]
masivní,massive [ˈmæs.ɪv]
pár,pair [per]
letadlo,plane [pleɪn]
spousta,plenty [ˈplen.t̬i]
princ,prince [prɪns]
(po)řádný,proper [ˈprɑː.pɚ]
čtvrt(ina),quarter [ˈkwɔːr.t̬ɚ]
regionální,regional [ˈriː.dʒən.əl]
zasedání,session [ˈseʃ.ən]
tvar,shape [ʃeɪp]
nebe,sky [skaɪ]
učení,teaching [ˈtiː.tʃɪŋ]
převod,transfer [ˈtræns.fɝː]
horní,upper [ˈʌp.ɚ]
užitečný,useful [ˈjuːs.fəl]
údolí,valley [ˈvæl.i]
nehoda,accident [ˈæk.sə.dənt]
záloha,advance [ədˈvæns]
alternativa,alternative [ɑːlˈtɝː.nə.t̬ɪv]
kdekoli(v),anywhere [ˈen.i.wer]
člun,boat [boʊt]
kapacita,capacity [kəˈpæs.ə.t̬i]
levný,cheap [tʃiːp]
klima,climate [ˈklaɪ.mət]
diskuse,discussion [dɪˈskʌʃ.ən]
pití,drinking [ˈdrɪŋ.kɪŋ]
povinnost,duty [ˈduː.t̬i]
fantastický,fantastic [fænˈtæs.tɪk]
guvernér,governor [ˈɡʌv.ɚ.nɚ]
sto(vka),hundred [ˈhʌn.drəd]
průmyslový,industrial [ɪnˈdʌs.tri.əl]
kloub,joint [dʒɔɪnt]
(s)míchat (se),mix [mɪks]
muzeum,museum [mjuːˈziː.əm]
pěšina,path [pæθ]
slib,promise [ˈprɑː.mɪs]
navrhnout,propose [prəˈpoʊz]
(za)koupit,purchase [ˈpɝː.tʃəs]
déšť,rain [reɪn]
ocel,steel [stiːl]
hrozný,terrible [ˈter.ə.bəl]
unavený,tired [taɪrd]
neřest,vice [vaɪs]
teplý,warm [wɔːrmθ]
obávající se,afraid [əˈfreɪd]
pivo,beer [bɪr]
hranice,border [ˈbɔːr.dɚ]
poručit,command [kəˈmænd]
posádka,crew [kruː]
dav,crowd [kraʊd]
čurák,dick [dɪk]
prvek,element [ˈel.ə.mənt]
nepřítel,enemy [ˈen.ə.mi]
zajistit,ensure [ɪnˈʃʊr]
ekologický,environmental [ɪnˌvaɪ.rəˈmen.t̬əl]
vyplnit,fill [fɪl]
les,forest [ˈfɔːr.ɪst]
inteligence,intelligence [ɪnˈtel.ə.dʒəns]
zamýšlet,intend [ɪnˈtend]
práce (fyzická),labour [ˈleɪ.bɚ]
mezní hodnota,limit [ˈlɪm.ɪt]
měsíc,moon [muːn]
oceán,ocean [ˈoʊ.ʃən]
zisk,profit [ˈprɑː.fɪt]
důkaz,proof [pruːf]
republikán,republican [rəˈpʌb.lɪ.kən]
voják,soldier [ˈsoʊl.dʒɚ]
oblek,suit [suːt]
vzhled,appearance [əˈpɪr.əns]
budova,building [ˈbɪl.dɪŋ]
židle,chair [tʃer]
dluh,debt [det]
domácí,domestic [dəˈmes.tɪk]
drahý,expensive [ɪkˈspen.sɪv]
historický,historical [hɪˈstɔːr.ɪ.kəl]
čestně,honestly [ˈɑː.nɪst.li]
čest,honor [ˈɑː.nɚ]
skok,jump [dʒʌmp]
uvést na trh,launch [lɑːntʃ]
minimální,minimum [ˈmɪn.ə.məm]
rodák,native [ˈneɪ.t̬ɪv]
původně,originally [əˈrɪdʒ.ən.əl.i]
paprsek,ray [reɪ]
najednou,suddenly [ˈsʌd.ən.li]
nejvyšší,supreme [suːˈpriːm]
anketa,survey [ˈsɝː.veɪ]
aktualizovat,update [ʌpˈdeɪt]
spisovatel,writer [ˈraɪ.t̬ɚ]
žlutý,yellow [ˈjel.oʊ]
starověký,ancient [ˈeɪn.ʃənt]
sloučit (se),combine [kəmˈbaɪn]
komunikace,communication [kəˌmjuː.nəˈkeɪ.ʃən]
připojit (se),connect [kəˈnekt]
obsahovat,contain [kənˈteɪn]
cvičení,exercise [ˈek.sɚ.saɪz]
vyjádřit,express [ɪkˈspres]
proudit,flow [floʊ]
hrdina,hero [ˈhɪr.oʊ]
nezákonný,illegal [ɪˈliː.ɡəl]
vtip,joke [dʒoʊk]
půjčka,loan [loʊn]
(vy)konat,perform [pɚˈfɔːrm]
planeta,planet [ˈplæn.ɪt]
restaurace,restaurant [ˈres.tə.rɑːnt]
vybrat,select [səˈlekt]
nakupování,shopping [ˈʃɑː.pɪŋ]
hebký,soft [sɑːft]
uvíznutý,stuck [stʌk]
cukr,sugar [ˈʃʊɡ.ɚ]
učit,teach [tiːtʃ]
přeprava,transport [ˈtræn.spɔːrt]
záležitost,affair [əˈfer]
apelovat,appeal [əˈpiːl]
vhodný,appropriate [əˈproʊ.pri.ət]
potvrdit,confirm [kənˈfɝːm]
zařízení,device [dɪˈvaɪs]
drama,drama [ˈdrɑː.mə]
vstup,entry [ˈen.tri]
éra,era [ˈer.ə]
zlatý,golden [ˈɡoʊl.dən]
dotace,grant [ɡrænt]
právník,lawyer [ˈlɔɪ.jɚ]
noha,leg [leɡ]
(z)měřit,measure [ˈmeʒ.ɚ]
omyl,mistake [mɪˈsteɪk]
pódium,platform [ˈplæt.fɔːrm]
bazén,pool [puːl]
považovat (koho/co za co),regard [rɪˈɡɑːrd]
vztah,relation [rɪˈleɪ.ʃən]
trasa,route [ruːt]
rozvrh,schedule [ˈskedʒ.uːl]
vědecký,scientific [ˌsaɪ.ənˈtɪf.ɪk]
bota,shoe [ʃuː]
kouř,smoke [smoʊk]
oddíl,squad [skwɑːd]
testování,testing [ˈtes.tɪŋ]
zneužívání,abuse [əˈbjuːz]
rozzlobený,angry [ˈæŋ.ɡri]
kandidát,candidate [ˈkæn.dɪ.dət]
pohodlný,comfortable [ˈkʌm.fɚ.t̬ə.bəl]
diskutovat,discuss [dɪˈskʌs]
citový,emotional [ɪˈmoʊ.ʃən.əl]
všude,everywhere [ˈev.ri.wer]
zařízení (instituce),facility [fəˈsɪl.ə.t̬i]
liška,fox [fɑːks]
díra,hole [hoʊl]
dovolená,holiday [ˈhɑː.lə.deɪ]
vnitřní,internal [ɪnˈtɝː.nəl]
(za)smát se,laugh [læf]
liberální,liberal [ˈlɪb.ər.əl]
poslech,listening [ˈlɪs.ən]
oběd,lunch [lʌntʃ]
mléko,milk [mɪlk]
balíček,pack [pæk]
platba,payment [ˈpeɪ.mənt]
poměrně,relatively [ˈrel.ə.t̬ɪv.li]
sektor,sector [ˈsek.tɚ]
sníh,snow [snoʊ]
bouře,storm [stɔːrm]
stávka,strike [straɪk]
studio,studio [ˈstuː.di.oʊ]
slabý,weak [wiːk]
herec,actor [ˈæk.tɚ]
byt,apartment [əˈpɑːrt.mənt]
řetěz,chain [tʃeɪn]
kapitola,chapter [ˈtʃæp.tɚ]
spáchat,commit [kəˈmɪt]
"důvěra (ke komu, v koho)",confidence [ˈkɑːn.fə.dəns]
vařit,cook [kʊk]
falešný,fake [feɪk]
finance,finance [ˈfaɪ.næns]
identita,identity [aɪˈden.t̬ə.t̬i]
cesta (absolvovaná),journey [ˈdʒɝː.ni]
kuchyně,kitchen [ˈkɪtʃ.ən]
udržovat,maintain [meɪnˈteɪn]
četné,numerous [ˈnuː.mə.rəs]
tichý,quiet [ˈkwaɪ.ət]
konkrétně,specifically [spəˈsɪf.ɪ.kəl.i]
rozdělit,split [splɪt]
úkol,task [tæsk]
dvacet,twenty [ˈtwen.t̬i]
městský,urban [ˈɝː.bən]
ovlivnit,affect [əˈfekt]
letadlo (formální),aircraft [ˈer.kræft]
schvalovat,approve [əˈpruːv]
přibližně,approximately [əˈprɑːk.sə.mət.li]
argument,argument [ˈɑːrɡ.jə.mənt]
zatknout,arrest [əˈrest]
konflikt,conflict [ˈkɑːn.flɪkt]
podnikový,corporate [ˈkɔːr.pɚ.ət]
debata,debate [dɪˈbeɪt]
určit,determine [dɪˈtɝː.mɪn]
distribuce,distribution [ˌdɪs.trɪˈbjuː.ʃən]
dokument,document [ˈdɑː.kjə.mənt]
uniknout,escape [ɪˈskeɪp]
rozprostírat se,extend [ɪkˈstend]
chyba,fault [fɑːlt]
květ,flower [ˈflaʊ.ɚ]
přátelský,friendly [ˈfrend.li]
fáze,phase [feɪz]
(po)řádně,properly [ˈprɑː.pɚ.li]
čistý,pure [pjʊr]
požadavek,requirement [rɪˈkwaɪr.mənt]
(místní) obyvatel,resident [ˈrez.ə.dənt]
výnos(příjmy),revenue [ˈrev.ə.nuː]
zajistit,secure [səˈkjʊr]
(u)smát se,smile [smaɪl]
(po)divný,strange [streɪndʒ]
nadání,talent [ˈtæl.ənt]
teplota,temperature [ˈtem.pɚ.ə.tʃɚ]
nákladní auto,truck [trʌk]
v podstatě,basically [ˈbeɪ.sɪ.kəl.i]
kromě,besides [bɪˈsaɪdz]
pták,bird [bɝːd]
vinit,blame [bleɪm]
kuře,chicken [ˈtʃɪk.ɪn]
sbírat,collect [kəˈlekt]
kontext,context [ˈkɑːn.tekst]
pokrytí(signálem),coverage [ˈkʌv.ɚ.ɪdʒ]
vystavit,display [dɪˈspleɪ]
(z)volit,elect [ɪˈlekt]
falešný,false [fɑːls]
identifikovat,identify [aɪˈden.t̬ə.faɪ]
neuvěřitelný,incredible [ɪnˈkred.ə.bəl]
inspirovat,inspire [ɪnˈspaɪr]
maso,meat [miːt]
ministerstvo,ministry [ˈmɪn.ə.stri]
provozní program,mode [moʊd]
krk,neck [nek]
román,novel [ˈnɑː.vəl]
očividný,obvious [ˈɑːb.vi.əs]
košile,shirt [ʃɝːt]
pomalu,slowly [ˈsloʊ.li]
stadión,stadium [ˈsteɪ.di.əm]
operace,surgery [ˈsɝː.dʒər.i]
obchodování,trading [ˈtreɪ.dɪŋ]
vize,vision [ˈvɪʒ.ən]
kdykoli,whenever [wenˈev.ɚ]
ustaraný,worried [ˈwɝː.id]
nula,zero [ˈzɪr.oʊ]
šampión,champion [ˈtʃæm.pi.ən]
smetana,cream [kriːm]
krize,crisis [ˈkraɪ.sɪs]
doručit,deliver [dɪˈlɪv.ɚ]
redaktor,editor [ˈed.ɪ.t̬ɚ]
odhad,estimate [ˈes.tə.meɪt]
obří,giant [ˈdʒaɪ.ənt]
vězení,jail [dʒeɪl]
království,kingdom [ˈkɪŋ.dəm]
literatura,literature [ˈlɪt̬.ɚ.ə.tʃɚ]
starosta,mayor [mer]
menší (nevýznamný),minor [ˈmaɪ.nɚ]
(na)proti,opposite [ˈɑː.pə.zɪt]
oranžový,orange [ˈɔːr.ɪndʒ]
my sami,ourselves [ˌaʊ.ɚˈselvz]
výběr,selection [səˈlek.ʃən]
signál,signal [ˈsɪɡ.nəl]
potok(menší tok),stream [striːm]
snažit se(i přes obtíže),struggle [ˈstrʌɡ.əl]
sebevražda,suicide [ˈsuː.ə.saɪd]
téma,theme [θiːm]
maličký,tiny [ˈtaɪ.ni]
typicky,typically [ˈtɪp.ɪ.kəl.i]
vlna,wave [weɪv]
alkohol,alcohol [ˈæl.kə.hɑːl]
montáž,assembly [əˈsem.bli]
snídaně,breakfast [ˈbrek.fəst]
"jasný (světlo, barva)",bright [braɪt]
schopný,capable [ˈkeɪ.pə.bəl]
kombinace,combination [ˌkɑːm.bəˈneɪ.ʃən]
konzervativní,conservative [kənˈsɝː.və.t̬ɪv]
touha,desire [dɪˈzaɪr]
zničit,destroy [dɪˈstrɔɪ]
hrubá/pracovní verze,draft [dræft]
opilý,drunk [drʌŋk]
esenciální,essential [ɪˈsen.ʃəl]
povědomý,familiar [fəˈmɪl.i.jɚ]
provinilý,guilty [ˈɡɪl.ti]
převážně,largely [ˈlɑːrdʒ.li]
(pro)střední,medium [ˈmiː.di.əm]
dokonale,perfectly [ˈpɝː.fekt.li]
doporučit,recommend [ˌrek.əˈmend]
odkázat se/odkazovat se,refer [rɪˈfɝː]
relevantní,relevant [ˈrel.ə.vənt]
hledat,seek [siːk]
sólový,solo [ˈsoʊ.loʊ]
lístek,ticket [ˈtɪk.ɪt]
neschopný,unable [ʌnˈeɪ.bəl]
rozrušený,upset [ʌpˈset]
křídlo,wing [wɪŋ]
bomba,bomb [bɑːm]
tvořivý,creative [kriˈeɪ.t̬ɪv]
cyklus,cycle [ˈsaɪ.kəl]
vzdělávací,educational [ˌedʒ.əˈkeɪ.ʃən.əl]
zábava,entertainment [en.t̬ɚˈteɪn.mənt]
extrémní,extreme [ɪkˈstriːm]
hlavně,mainly [ˈmeɪn.li]
maximální,maximum [ˈmæk.sə.məm]
noviny,newspaper [ˈnuːzˌpeɪ.pɚ]
nabídka,offering [ˈɑː.fɚ.ɪŋ]
(na)malovat,paint [peɪnt]
republika,republic [rəˈpʌb.lɪk]
(za)rezervovat,reserve [rɪˈzɝːv]
řada,row [roʊ]
sůl,salt [sɑːlt]
vyděsit,scare [sker]
statistický,statistic [stəˈtɪs.tɪk]
vypínač,switch [swɪtʃ]
území,territory [ˈter.ə.tɔːr.i]
hrozba,threat [θret]
jmenovat,appoint [əˈpɔɪnt]
ozbrojený,armed [ɑːrmd]
zvonek,bell [bel]
foukat,blow [bloʊ]
pouto,bond [bɑːnd]
opatrný,careful [ˈker.fəl]
