kvalifikovat se,qualify [ˈkwɑː.lə.faɪ]
stáj,stable [ˈsteɪ.bəl]
příznak,symptom [ˈsɪmp.təm]
dočasný,temporary [ˈtem.pə.rer.i]
trik,trick [trɪk]
kost,bone [boʊn]
komorní,chamber [ˈtʃeɪm.bɚ]
diagram,chart [tʃɑːrt]
obvod,circuit [ˈsɝː.kɪt]
oblečení,clothing [ˈkloʊ.ðɪŋ]
(z)komplikovat,complicate [ˈkɑːm.plə.keɪt]
následek,consequence [ˈkɑːn.sə.kwəns]
bránit(před útokem),defend [dɪˈfend]
rozdělit,divide [dɪˈvaɪd]
každodenní,everyday [ˈev.ri.deɪ]
rozsah,extent [ɪkˈstent]
rybaření,fishing [ˈfɪʃ.ɪŋ]
formát,format [ˈfɔːr.mæt]
mezera,gap [ɡæp]
brána,gate [ɡeɪt]
ublížit,harm [hɑːrm]
domácnost,household [ˈhaʊs.hoʊld]
přistěhovalectví,immigration [ˌɪm.əˈɡreɪ.ʃən]
působivý,impressive [ɪmˈpres.ɪv]
zabiják,killer [ˈkɪl.ɚ]
lekce,lesson [ˈles.ən]
členství,membership [ˈmem.bɚ.ʃɪp]
zrcadlo,mirror [ˈmɪr.ɚ]
parkoviště,parking [ˈpɑːr.kɪŋ]
návrh,proposal [prəˈpoʊ.zəl]
provincie,province [ˈprɑː.vɪns]
rozpoznání,recognition [ˌrek.əɡˈnɪʃ.ən]
pověst,reputation [ˌrep.jəˈteɪ.ʃən]
krátce,shortly [ˈʃɔːrt.li]
silně,strongly [ˈstrɑːŋ.li]
slza,tear [ter]
tenký,thin [θɪn]
obvinit,accuse [əˈkjuːz]
dobrodružství,adventure [ədˈven.tʃɚ]
hádat se,argue [ˈɑːrɡ.juː]
vyměření,assessment [əˈses.mənt]
atmosféra,atmosphere [ˈæt.mə.sfɪr]
hrozný,awful [ˈɑː.fəl]
ložnice,bedroom [ˈbed.ruːm]
víra,belief [bɪˈliːf]
svázat (spoutat),bind [baɪnd]
opatrně,carefully [ˈker.fəl.i]
kontrast,contrast [ˈkɑːn.træst]
jinde,elsewhere [ˈels.wer]
rozšíření,extension [ɪkˈsten.ʃən]
zakladatel,founder [ˈfaʊn.dɚ]
(ozubený) převod,gear [ɡɪr]
hip,hip [hɪp]
infrastruktura,infrastructure [ˈɪn.frəˌstrʌk.tʃɚ]
volný (oděv ap.),loose [luːs]
morální,moral [ˈmɔːr.əl]
urážlivý,offensive [əˈfen.sɪv]
balík,package [ˈpæk.ɪdʒ]
chudoba,poverty [ˈpɑː.vɚ.t̬i]
železnice,railway [ˈreɪl.weɪ]
směšný,ridiculous [rɪˈdɪk.jə.ləs]
citlivý,sensitive [ˈsen.sə.t̬ɪv]
server,server [ˈsɝː.vɚ]
šok,shock [ʃɑːk]
ticho,silence [ˈsaɪ.ləns]
"lepší (vyšší,kvalitnější)",superior [səˈpɪr.i.ɚ]
podporovatel,supporter [səˈpɔːr.t̬ɚ]
tlustý (deska ap.),thick [θɪk]
tuna,ton [tʌn]
přechod (změna stavu),transition [trænˈzɪʃ.ən]
násilný,violent [ˈvaɪə.lənt]
volič,voter [ˈvoʊ.t̬ɚ]
(u)mýt,wash [wɑːʃ]
kyselina,acid [ˈæs.ɪd]
herečka,actress [ˈæk.trəs]
administrativní,administrative [ædˈmɪn.ɪˌstreɪ.t̬ɪv]
podél,alongside [əˈlɑːŋ.saɪd]
anděl,angel [ˈeɪn.dʒəl]
úzkost,anxiety [æŋˈzaɪ.ə.t̬i]
bonus,bonus [ˈboʊ.nəs]
hrad,castle [ˈkæs.əl]
charita,charity [ˈtʃer.ə.t̬i]
vaření,cooking [ˈkʊk.ɪŋ]
zvědavý,curious [ˈkjʊr.i.əs]
objev (vědecký),discovery [dɪˈskʌv.ɚ.i]
vévoda,duke [duːk]
povzbudit,encourage [ɪnˈkɝː.ɪdʒ]
vymáhání (vynucení dodržení),enforcement [ɪnˈfɔːrs.mənt]
záblesk,flash [flæʃ]
formální,formal [ˈfɔːr.məl]
vzorec (sloučeniny ap.),formula [ˈfɔːr.mjə.lə]
pevnost,fort [fɔːrt]
šedá,gray [ɡreɪ]
"hrubý (chování, jazyk ap.)",gross [ɡroʊs]
hladový,hungry [ˈhʌŋ.ɡri]
informovat,inform [ɪnˈfɔːrm]
nevinný,innocent [ˈɪn.ə.sənt]
matematika,math [mæθ]
tajemství,mystery [ˈmɪs.tɚ.i]
palác,palace [ˈpæl.ɪs]
postih,penalty [ˈpen.əl.ti]
domácí mazlíček,pet [pet]
fotografování,photography [fəˈtɑː.ɡrə.fi]
protest,protest [ˈproʊ.test]
publikování,publication [ˌpʌb.ləˈkeɪ.ʃən]
(o)hodnocení,rating [ˈreɪ.t̬ɪŋ]
tichý,silent [ˈsaɪ.lənt]
úspěšně,successfully [səkˈses.fəl.i]
chrám,temple [ˈtem.pəl]
stezka,trail [treɪl]
strýc,uncle [ˈʌŋ.kəl]
neobvyklý,unusual [ʌnˈjuː.ʒu.əl]
příjezd,arrival [əˈraɪ.vəl]
útok,assault [əˈsɑːlt]
povědomí,awareness [əˈwer.nəs]
špatně,badly [ˈbæd.li]
koupel,bath [bæθ]
zajmout,capture [ˈkæp.tʃɚ]
pronásledovat,chase [tʃeɪs]
součást(ka),component [kəmˈpoʊ.nənt]
beton,concrete [ˈkɑːn.kriːt]
hluboce,deeply [ˈdiːp.li]
očekávání,expectation [ˌek.spekˈteɪ.ʃən]
vysvětlení,explanation [ˌek.spləˈneɪ.ʃən]
vystavení (vydání působení),exposure [ɪkˈspoʊ.ʒɚ]
beletrie,fiction [ˈfɪk.ʃən]
záruka,guarantee [ˌɡer.ənˈtiː]
štěstí,happiness [ˈhæp.i.nəs]
hrozný,horrible [ˈhɔːr.ə.bəl]
ideál,ideal [aɪˈdiː.əl]
legenda,legend [ˈledʒ.ənd]
poručík,lieutenant [luːˈten.ənt]
nálada,mood [muːd]
sval,muscle [ˈmʌs.əl]
vášeň,passion [ˈpæʃ.ən]
procedura,procedure [prəˈsiː.dʒɚ]
výrobce,producer [prəˈduː.sɚ]
hodnost,rank [ræŋk]
nahrazení,replacement [rɪˈpleɪs.mənt]
odejít do důchodu,retire [rɪˈtaɪr]
písek,sand [sænd]
úspora,saving [ˈseɪ.vɪŋ]
lavička (s opěradlem),settle [ˈset̬.əl]
stín,shadow [ˈʃæd.oʊ]
visačka,tag [tæɡ]
mzda,wage [weɪdʒ]
bulvár (ulice),avenue [ˈæv.ə.nuː]
nudný,boring [ˈbɔː.rɪŋ]
hodiny,clock [klɑːk]
komisař,commissioner [kəˈmɪʃ.ən.ɚ]
závazek (dítě ap.),commitment [kəˈmɪt.mənt]
sebevědomý,confident [ˈkɑːn.fə.dənt]
zvyk,custom [ˈkʌs.təm]
popřít,deny [dɪˈnaɪ]
psací stůl,desk [desk]
ucho,ear [ɪr]
elektřina,electricity [ɪˌlekˈtrɪs.ə.t̬i]
zemědělec,farmer [ˈfɑːr.mɚ]
tělocvična,gym [dʒɪm]
nápomocný,helpful [ˈhelp.fəl]
hrůza,horror [ˈhɔːr.ɚ]
štítek (etiketa),label [ˈleɪ.bəl]
nahý,naked [ˈneɪ.kɪd]
výstup (z počítače ap.),output [ˈaʊt.pʊt]
hřiště,pitch [pɪtʃ]
pizza,pizza [ˈpiːt.sə]
prostý (všední),plain [pleɪn]
zadní část,rear [rɪr]
odhalit,reveal [rɪˈviːl]
romantický,romantic [roʊˈmæn.t̬ɪk]
strategický,strategic [strəˈtiː.dʒɪk]
plavání,swimming [ˈswɪm.ɪŋ]
blaho(byt),welfare [ˈwel.fer]
drát,wire [waɪr]
poté,afterwards [ˈæf.tɚ.wɚdz]
v pořádku,alright [ɑːlˈraɪt]
hněv,anger [ˈæŋ.ɡɚ]
architektura,architecture [ˈɑːr.kə.tek.tʃɚ]
pomáhat,assist [əˈsɪst]
jménem,behalf [bɪˈhæf]
pás(ek),belt [belt]
obřad,ceremony [ˈser.ə.moʊ.ni]
komik,comic [ˈkɑː.mɪk]
policajt,cop [kɑːp]
návrhář,designer [dɪˈzaɪ.nɚ]
diamant,diamond [ˈdaɪ.ə.mənd]
zklamat,disappoint [ˌdɪs.əˈpɔɪnt]
efektivní,efficient [ɪˈfɪʃ.ənt]
elektrický,electrical [ɪˈlek.trɪ.kəl]
zaměstnat,employ [ɪmˈplɔɪ]
v podstatě,essentially [ɪˈsen.ʃəl.i]
zřízení,establishment [ɪˈstæb.lɪʃ.mənt]
duch,ghost [ɡoʊst]
hokej,hockey [ˈhɑː.ki]
lov(ení),hunting [ˈhʌn.t̬ɪŋ]
sada,kit [kɪt]
nervózní,nervous [ˈnɝː.vəs]
čerstvě,newly [ˈnuː.li]
zvláštní,odd [ɑːd]
obyčejný,ordinary [ˈɔːr.dən.er.i]
(z)účastnit se,participate [pɑːrˈtɪs.ə.peɪt]
modlitba,prayer [prer]
zásada,principle [ˈprɪn.sə.pəl]
rasista,racist [ˈreɪ.sɪst]
vzácně,rarely [ˈrer.li]
sexy,sexy [ˈsek.si]
půda,soil [sɔɪl]
(vy)řešit,solve [sɑːlv]
žaludek,stomach [ˈstʌm.ək]
(vy)sát,suck [sʌk]
odpad(ky),trash [træʃ]
škaredý,ugly [ˈʌɡ.li]
virus,virus [ˈvaɪ.rəs]
chodec,walker [ˈwɑː.kɚ]
kdokoli,whoever [huːˈev.ɚ]
oživit (podpořit),boost [buːst]
pobočka (kancelář v jiném městě),bureau [ˈbjʊr.oʊ]
plukovník,colonel [ˈkɝː.nəl]
pohodlí,comfort [ˈkʌm.fɚt]
bratranec,cousin [ˈkʌz.ən]
prasklina,crack [kræk]
paluba,deck [dek]
drak,dragon [ˈdræɡ.ən]
dramatický,dramatic [drəˈmæt̬.ɪk]
prach,dust [dʌst]
holandský,dutch [dʌtʃ]
vývoj,evolution [ˌev.əˈluː.ʃən]
najmout(si),hire [haɪr]
nemoc,illness [ˈɪl.nəs]
inspirace,inspiration [ˌɪn.spəˈreɪ.ʃən]
nůž,knife [naɪf]
v poslední době,lately [ˈleɪt.li]
památník,memorial [məˈmɔːr.i.əl]
menšina,minority [maɪˈnɔːr.ə.t̬i]
máma,mum [mʌm]
priorita,priority [praɪˈɔːr.ə.t̬i]
povýšení,promotion [prəˈmoʊ.ʃən]
kolej(nice),rail [reɪl]
čtenář,reader [ˈriː.dɚ]
vzdálený,remote [rɪˈmoʊt]
opravit,repair [rɪˈper]
kořen,root [ruːt]
svatý,saint [seɪnt]
(u)krást,steal [stiːl]
telefon,telephone [ˈtel.ə.foʊn]
získat,acquire [əˈkwaɪɚ]
aliance,alliance [əˈlaɪ.əns]
otravný,annoying [əˈnɔɪ.ɪŋ]
nabídka (do soutěže či dražby),bid [bɪd]
kamarád,buddy [ˈbʌd.i]
pohřbít,bury [ˈber.i]
máslo,butter [ˈbʌt̬.ɚ]
závěr,conclusion [kənˈkluː.ʒən]
gratulace,congratulation [kənˌɡrætʃ.əˈleɪ.ʃən]
přesvědčit,convince [kənˈvɪns]
blbost (vulgárně),crap [kræp]
křišťál,crystal [ˈkrɪs.təl]
děkan (univerzity),dean [diːn]
slušný (mravný),decent [ˈdiː.sənt]
pokles,decline [dɪˈklaɪn]
zpoždění,delay [dɪˈleɪ]
poušť,desert [ˈdez.ɚt]
centrum města,downtown [ˌdaʊnˈtaʊn]
elita,elite [iˈliːt]
poskok (poskočení),hop [hɑːp]
duševně chorý,insane [ɪnˈseɪn]
přistání,landing [ˈlæn.dɪŋ]
vrstva,layer [ˈleɪ.ɚ]
vzít si (sňatkem),marry [ˈmer.i]
nikde,nowhere [ˈnoʊ.wer]
zdravotní sestra,nurse [nɝːs]
organický,organic [ɔːrˈɡæn.ɪk]
vlastnictví,ownership [ˈoʊ.nɚ.ʃɪp]
účastník,participant [pɑːrˈtɪs.ə.pənt]
poezie,poetry [ˈpoʊ.ə.tri]
hrnec,pot [pɑːt]
modlit se,pray [preɪ]
vzpomenout (si),recall [rɪˈkɑːl]
saké,sake [seɪk]
prostěradlo,sheet [ʃiːt]
hladký,smooth [smuːð]
duchovní,spiritual [ˈspɪr.ə.tʃu.əl]
provázek,string [strɪŋ]
náhlý,sudden [ˈsʌd.ən]
dovolená,vacation [veɪˈkeɪ.ʃən]
do/v zahraničí,abroad [əˈbrɑːd]
přidělit,assign [əˈsaɪn]
Atlantik,atlantic [ətˈlæn.t̬ɪk]
lavička,bench [bentʃ]
obtěžovat se,bother [ˈbɑː.ðɚ]
vysílat (televizí ap.),broadcast [ˈbrɑːd.kæst]
nashle,bye [baɪ]
uklízení,cleaning [ˈkliː.nɪŋ]
soutěžit,compete [kəmˈpiːt]
skládat se,consist [kənˈsɪst]
přispět,contribute [kənˈtrɪb.juːt]
kriket,cricket [ˈkrɪk.ɪt]
vchod,entrance [ˈen.trəns]
stejně,equally [ˈiː.kwə.li]
fitness,fitness [ˈfɪt.nəs]
přátelství,friendship [ˈfrend.ʃɪp]
idiot,idiot [ˈɪd.i.ət]
intenzivní,intense [ɪnˈtens]
životnost,lifetime [ˈlaɪf.taɪm]
kapalina,liquid [ˈlɪk.wɪd]
medaile,medal [ˈmed.əl]
hypotéka,mortgage [ˈmɔːr.ɡɪdʒ]
vyprávění (slohový útvar),narrative [ˈner.ə.t̬ɪv]
úzký (na šířku),narrow [ˈner.oʊ]
pozorovat,observe [əbˈzɝːv]
příležitostně,occasionally [əˈkeɪ.ʒən.əl.i]
pánev,pan [pæn]
fyzika,physics [ˈfɪz.ɪks]
potenciálně,potentially [poʊˈten.ʃəl.i]
snížení,reduction [rɪˈdʌk.ʃən]
odrážet,reflect [rɪˈflekt]
výzkumník,researcher [ˈriː.sɝː.tʃɚ]
hloupý,silly [ˈsɪl.i]
následný,subsequent [ˈsʌb.sɪ.kwənt]
překlad,translation [trænsˈleɪ.ʃən]
viditelný,visible [ˈvɪz.ə.bəl]
jo,yep [jep]
novelizace (zákona ap.),amendment [əˈmend.mənt]
úhel,angle [ˈæŋ.ɡəl]
patřit,belong [bɪˈlɑːŋ]
biskup,bishop [ˈbɪʃ.əp]
běžně,commonly [ˈkɑː.mən.li]
obranný,defensive [dɪˈfen.sɪv]
účinnost,efficiency [ɪˈfɪʃ.ən.si]
podnik,enterprise [ˈen.t̬ɚ.praɪz]
experiment,experiment [ɪkˈsper.ə.mənt]
nález (nalezení),finding [ˈfaɪn.dɪŋ]
fórum,forum [ˈfɔːr.əm]
tráva,grass [ɡræs]
(a) proto,hence [hens]
čím dál tím víc(e),increasingly [ɪnˈkriː.sɪŋ.li]
neuvěřitelně,incredibly [ɪnˈkred.ə.bli]
sojka,jay [dʒeɪ]
novinář,journalist [ˈdʒɝː.nə.lɪst]
mlýn,mill [mɪl]
příležitost,occasion [əˈkeɪ.ʒən]
tempo (rychlost ap.),pace [peɪs]
cestující,passenger [ˈpæs.ən.dʒɚ]
mít něco u sebe / držet něco,possession [pəˈzeʃ.ən]
překotný,rapid [ˈræp.ɪd]
(o)točit (se) (kolem osy),spin [spɪn]
vhodný,suitable [ˈsuː.t̬ə.bəl]
platný,valid [ˈvæl.ɪd]
vitální,vital [ˈvaɪ.t̬əl]
"zatímco (form., kniž.)",whilst [waɪlst]
zemědělství,agriculture [ˈæɡ.rə.kʌl.tʃɚ]
tvrdit (nepodloženě),allege [əˈledʒ]
obchod (odvětví),commerce [ˈkɑː.mɝːs]
potok,creek [kriːk]
měna,currency [ˈkɝː.ən.si]
emoce,emotion [ɪˈmoʊ.ʃən]
výstava,exhibition [ˌek.səˈbɪʃ.ən]
podvod,fraud [frɑːd]
pohřeb,funeral [ˈfjuː.nɚ.əl]
pravý (opravdový),genuine [ˈdʒen.ju.ɪn]
med,honey [ˈhʌn.i]
hák,hook [hʊk]
přistěhovalec,immigrant [ˈɪm.ə.ɡrənt]
pokyn,instruction [ɪnˈstrʌk.ʃən]
dědictví (národní ap.),legacy [ˈleɡ.ə.si]
poleno,log [lɑːɡ]
pouze,merely [ˈmɪr.li]
monitor,monitor [ˈmɑː.nə.t̬ɚ]
poměr,ratio [ˈreɪ.ʃi.oʊ]
litovat,regret [rɪˈɡret]
zavrhnout (zamítnout),reject [rɪˈdʒekt]
připomenout,remind [rɪˈmaɪnd]
letovisko,resort [rɪˈzɔːrt]
zvrátit,reverse [rɪˈvɝːs]
rutina,routine [ruːˈtiːn]
strašidelný,scary [ˈsker.i]
semínko,seed [siːd]
hřích,sin [sɪn]
(vy)hláskovat ,spell [spel]
shrnutí,summary [ˈsʌm.ɚ.i]
přežití,survival [sɚˈvaɪ.vəl]
meč,sword [sɔːrd]
jazyk,tongue [tʌŋ]
oddělení (v nemocnici),ward [wɔːrd]
úspěch,achievement [əˈtʃiːv.mənt]
automatický,automatic [ˌɑː.t̬əˈmæt̬.ɪk]
chování,behaviour [bɪˈheɪ.vjɚ]
kabát,coat [koʊt]
vyčerpávající,comprehensive [ˌkɑːm.prəˈhen.sɪv]
souhlas (svolení) ,consent [kənˈsent]
tatínek,daddy [ˈdæd.i]
zkáza,destruction [dɪˈstrʌk.ʃən]
mimořádný,extraordinary [ɪkˈstrɔːr.dən.er.i]
osud,fate [feɪt]
četnost,frequency [ˈfriː.kwən.si]
gen,gene [dʒiːn]
sláva,glory [ˈɡlɔːr.i]
ústředí,headquarters [ˈhedˌkwɔːr.t̬ɚz]
dědictví,heritage [ˈher.ɪ.t̬ɪdʒ]
iniciativa,initiative [ɪˈnɪʃ.ə.t̬ɪv]
šťáva,juice [dʒuːs]
krajina,landscape [ˈlænd.skeɪp]
logika,logic [ˈlɑː.dʒɪk]
objektivní,objective [əbˈdʒek.tɪv]
soukromí,privacy [ˈpraɪ.və.si]
bydliště (místo pobytu),residence [ˈrez.ə.dəns]
hrubě,roughly [ˈrʌf.li]
plat,salary [ˈsæl.ɚ.i]
scénář,script [skrɪpt]
proužek,strip [strɪp]
vyhrožovat,threaten [ˈθret.ən]
trubka (roura) ,tube [tuːb]
velvyslanec,ambassador [æmˈbæs.ə.dɚ]
bankovnictví,banking [ˈbæŋ.kɪŋ]
prsa,breast [brest]
chemie,chemistry [ˈkem.ə.stri]
usoudit,conclude [kənˈkluːd]
spotřeba,consumption [kənˈsʌmp.ʃən]
korupce,corruption [kəˈrʌp.ʃən]
bavlna,cotton [ˈkɑː.tən]
sleva,discount [ˈdɪs.kaʊnt]
tucet,dozen [ˈdʌz.ən]
epos,epic [ˈep.ɪk]
výjimka,exception [ɪkˈsep.ʃən]
východ,exit [ˈek.sɪt]
rozšířit,expand [ɪkˈspænd]
nóbl,fancy [ˈfæn.si]
nádherný,gorgeous [ˈɡɔːr.dʒəs]
vděčný,grateful [ˈɡreɪt.fəl]
dojem,impression [ɪmˈpreʃ.ən]
naznačovat,indicate [ˈɪn.də.keɪt]
vstup (odb.)(místo přívodu),input [ˈɪn.pʊt]
zaťukat,knock [nɑːk]
"kůže (zvířecí, k výrobě ap.)",leather [ˈleð.ɚ]
ret,lip [lɪp]
přepych,luxury [ˈlʌk.ʃɚ.i]
text písně,lyric [ˈlɪr.ɪk]
výrobce,manufacturer [ˌmæn.jəˈfæk.tʃɚ.ɚ]
by měl,ought [ɔt]
odstranění,removal [rɪˈmuː.vəl]
zpravodaj,reporter [rɪˈpɔːr.t̬ɚ]
okrást,rob [rɑːb]
výkřik,scream [skriːm]
posloupnost,sequence [ˈsiː.kwəns]
rozprostírat se,stretch [stretʃ]
tenis,tennis [ˈten.ɪs]
terorista,terrorist [ˈter.ɚ.ɪst]
divadlo,theater [ˈθiː.ə.t̬ɚ]
panna,virgin [ˈvɝː.dʒɪn]
vlk,wolf [wʊlf]
nepřítomnost,absence [ˈæb.səns]
zemědělský,agricultural [ˌæɡ.rəˈkʌl.tʃɚ.əl]
sportovec,athlete [ˈæθ.liːt]
býk,bull [bʊl]
příspěvek,contribution [ˌkɑːn.trɪˈbjuː.ʃən]
lahodný,delicious [dɪˈlɪʃ.əs]
snadnost,ease [iːz]
sláva,fame [feɪm]
povodeň,flood [flʌd]
generovat,generate [ˈdʒen.ə.reɪt]
genetický,genetic [dʒəˈnet̬.ɪk]
zapůsobit,impress [ɪmˈpres]
okamžik,instant [ˈɪn.stənt]
investor,investor [ɪnˈves.t̬ɚ]
svoboda,liberty [ˈlɪb.ɚ.t̬i]
fotografie,photograph [ˈfoʊ.t̬oʊ.ɡræf]
pokrokový,progressive [prəˈɡres.ɪv]
trest,punishment [ˈpʌn.ɪʃ.mənt]
shromáždění,rally [ˈræl.i]
rychle,rapidly [ˈræp.ɪd.li]
zastoupení,representation [ˌrep.rɪ.zenˈteɪ.ʃən]
součet,sum [sʌm]
houpat (se),swing [swɪŋ]
ocas,tail [teɪl]
dvojče,twin [twɪn]
nadcházející,upcoming [ˈʌpˌkʌm.ɪŋ]
veterán,veteran [ˈve.t̬ɚ.ən]
ostražitý,alert [əˈlɝːt]
aréna,arena [əˈriː.nə]
(policejní) obušek,billy [ˈbɪl.i]
rozmach,boom [buːm]
bota (vysoká),boot [buːt]
statečný,brave [breɪv]
sloupec,column [ˈkɑː.ləm]
odškodnění,compensation [ˌkɑːm.penˈseɪ.ʃən]
složení (ze složek),composition [ˌkɑːm.pəˈzɪʃ.ən]
